"Name","ID","State","Notes","Tags","Created","GPU Type","config.ppo.n_envs","delay_k","efference_length","env_params.reference_stride","Runtime","total_steps","episode_reward/p25","episode_reward/p50","episode_reward/p75","env/root_pos_distance/p50","env/body_errors/end_eff_total/p50","rollout_batch/done_rate","episode_reward/mean","episode_reward/std","net/3/action/0/task_obs/6/kl_divergence/p0","net/3/action/0/task_obs/6/kl_divergence/p100","net/3/action/0/task_obs/6/kl_divergence/p25","net/3/action/0/task_obs/6/kl_divergence/p50","net/3/action/0/task_obs/6/kl_divergence/p75","net/3/action/0/task_obs/6/mu/p0","net/3/action/0/task_obs/6/mu/p100","net/3/action/0/task_obs/6/mu/p25","net/3/action/0/task_obs/6/mu/p50","net/3/action/0/task_obs/6/mu/p75","net/3/action/0/task_obs/6/sigma/p0","net/3/action/0/task_obs/6/sigma/p100","net/3/action/0/task_obs/6/sigma/p25","net/3/action/0/task_obs/6/sigma/p50","net/3/action/0/task_obs/6/sigma/p75","net/3/action/1/5/mu/p0","net/3/action/1/5/mu/p100","net/3/action/1/5/mu/p25","net/3/action/1/5/mu/p50","net/3/action/1/5/mu/p75","net/3/action/1/5/sigma/p0","net/3/action/1/5/sigma/p100","net/3/action/1/5/sigma/p25","net/3/action/1/5/sigma/p50","net/3/action/1/5/sigma/p75"
"RodentEncDec_delay9_eff9-20260603-085005","cgxrqzbh","finished","New set of params.","EncDec, MLP, delay9, eff9, warp","2026-06-03T12:50:06.000Z","NVIDIA A100-SXM4-80GB","4096","9","9","1","20394","600064000","","","","","","","1868.326904296875","339.1463623046875","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay10_eff10-20260603-085005","tdzkr41s","finished","New set of params.","EncDec, MLP, delay10, eff10, warp","2026-06-03T12:50:06.000Z","NVIDIA A100-SXM4-80GB","4096","10","10","1","20469","600064000","","","","","","","1849.355712890625","370.4431762695313","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay8_eff8-20260603-084925","khj0fhvt","finished","New set of params.","EncDec, MLP, delay8, eff8, warp","2026-06-03T12:49:26.000Z","NVIDIA A100-SXM4-80GB","4096","8","8","1","20415","600064000","","","","","","","1894.427490234375","308.16473388671875","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay6_eff6-20260603-084705","4klc78er","finished","New set of params.","EncDec, MLP, delay6, eff6, warp","2026-06-03T12:47:06.000Z","NVIDIA A100-SXM4-80GB","4096","6","6","1","20272","600064000","","","","","","","1884.0677490234375","341.272216796875","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay7_eff7-20260603-084705","gg1a9sfs","finished","New set of params.","EncDec, MLP, delay7, eff7, warp","2026-06-03T12:47:06.000Z","NVIDIA A100-SXM4-80GB","4096","7","7","1","20286","600064000","","","","","","","1908.16845703125","288.1629638671875","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay5_eff5-20260603-084658","dzyl5ow7","finished","New set of params.","EncDec, MLP, delay5, eff5, warp","2026-06-03T12:46:59.000Z","NVIDIA A100-SXM4-80GB","4096","5","5","1","20118","600064000","","","","","","","1931.3330078125","259.3713684082031","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay4_eff4-20260603-084640","f9z5u4rs","finished","New set of params.","EncDec, MLP, delay4, eff4, warp","2026-06-03T12:46:41.000Z","NVIDIA A100-SXM4-80GB","4096","4","4","1","20176","600064000","","","","","","","1937.97265625","235.010009765625","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay3_eff3-20260603-084626","hvpv4cnv","finished","New set of params.","EncDec, MLP, delay3, eff3, warp","2026-06-03T12:46:27.000Z","NVIDIA A100-SXM4-80GB","4096","3","3","1","20029","600064000","","","","","","","1958.1158447265625","211.50592041015625","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay2_eff2-20260603-084107","cjpn71gt","finished","New set of params.","EncDec, MLP, delay2, eff2, warp","2026-06-03T12:41:08.000Z","NVIDIA A100-SXM4-80GB","4096","2","2","1","19953","600064000","","","","","","","1983.1314697265625","165.14944458007812","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay1_eff1-20260603-083843","m0a40xpc","finished","New set of params.","EncDec, MLP, delay1, eff1, warp","2026-06-03T12:38:44.000Z","NVIDIA A100-SXM4-80GB","4096","1","1","1","19897","600064000","","","","","","","1989.5048828125","169.6540985107422","","","","","","","","","","","","","","","","","","","","","","","","",""
"RodentEncDec_delay0_eff0-20260603-083745","jybtds38","finished","New set of params.","EncDec, MLP, delay0, eff0, warp","2026-06-03T12:37:46.000Z","NVIDIA A100-SXM4-80GB","4096","0","0","1","19795","600064000","","","","","","","1999.081787109375","172.87091064453125","","","","","","","","","","","","","","","","","","","","","","","","",""
