wandb_id,condition,delay_k,step,reward_mean
aqoj4ewb,encdec_new_current,2,340049920,1923.461181640625
aqoj4ewb,encdec_new_current,2,350044160,1927.8043212890625
aqoj4ewb,encdec_new_current,2,360038400,1939.0394287109373
aqoj4ewb,encdec_new_current,2,370032640,1938.46044921875
aqoj4ewb,encdec_new_current,2,380026880,1937.4031982421875
aqoj4ewb,encdec_new_current,2,390021120,1935.509033203125
aqoj4ewb,encdec_new_current,2,400015360,1938.5240478515625
aqoj4ewb,encdec_new_current,2,410009600,1952.027099609375
aqoj4ewb,encdec_new_current,2,420003840,1951.4658203125
aqoj4ewb,encdec_new_current,2,430080000,1950.355712890625
aqoj4ewb,encdec_new_current,2,440074240,1944.322265625
aqoj4ewb,encdec_new_current,2,450068480,1950.162841796875
aqoj4ewb,encdec_new_current,2,460062720,1955.792236328125
aqoj4ewb,encdec_new_current,2,470056960,1949.1689453125
aqoj4ewb,encdec_new_current,2,480051200,1948.198486328125
aqoj4ewb,encdec_new_current,2,490045440,1959.741943359375
aqoj4ewb,encdec_new_current,2,500039680,1952.3826904296875
aqoj4ewb,encdec_new_current,2,510033920,1959.29541015625
aqoj4ewb,encdec_new_current,2,520028160,1962.5419921875
aqoj4ewb,encdec_new_current,2,530022400,1963.3095703125
aqoj4ewb,encdec_new_current,2,540016640,1957.261962890625
aqoj4ewb,encdec_new_current,2,550010880,1958.695068359375
aqoj4ewb,encdec_new_current,2,560005120,1964.7227783203125
aqoj4ewb,encdec_new_current,2,570081280,1958.854736328125
aqoj4ewb,encdec_new_current,2,580075520,1963.814208984375
aqoj4ewb,encdec_new_current,2,590069760,1965.60791015625
aqoj4ewb,encdec_new_current,2,600064000,1963.7186279296875
44ukf3je,encdec_new_current,5,10076160,636.967041015625
44ukf3je,encdec_new_current,5,20070400,672.71533203125
44ukf3je,encdec_new_current,5,30064640,670.0875244140625
44ukf3je,encdec_new_current,5,40058880,694.4125366210938
44ukf3je,encdec_new_current,5,50053120,748.6964111328125
44ukf3je,encdec_new_current,5,60047360,776.4928588867188
44ukf3je,encdec_new_current,5,70041600,823.1182861328125
44ukf3je,encdec_new_current,5,80035840,935.4110107421876
44ukf3je,encdec_new_current,5,90030080,957.9722900390624
44ukf3je,encdec_new_current,5,100024320,971.35302734375
44ukf3je,encdec_new_current,5,110018560,995.0156860351562
44ukf3je,encdec_new_current,5,120012800,1026.91796875
44ukf3je,encdec_new_current,5,130007040,1046.940185546875
44ukf3je,encdec_new_current,5,140001280,1083.612548828125
44ukf3je,encdec_new_current,5,150077440,1109.480712890625
44ukf3je,encdec_new_current,5,160071680,1140.70947265625
44ukf3je,encdec_new_current,5,170065920,1167.2828369140625
44ukf3je,encdec_new_current,5,180060160,1202.436767578125
44ukf3je,encdec_new_current,5,190054400,1298.9365234375
44ukf3je,encdec_new_current,5,200048640,1325.683837890625
44ukf3je,encdec_new_current,5,210042880,1402.5068359375
44ukf3je,encdec_new_current,5,220037120,1484.2734375
44ukf3je,encdec_new_current,5,230031360,1535.5548095703125
44ukf3je,encdec_new_current,5,240025600,1602.604248046875
44ukf3je,encdec_new_current,5,250019840,1610.3780517578125
44ukf3je,encdec_new_current,5,260014080,1674.9896240234375
44ukf3je,encdec_new_current,5,270008320,1685.80859375
44ukf3je,encdec_new_current,5,280002560,1696.234375
44ukf3je,encdec_new_current,5,290078720,1727.263916015625
44ukf3je,encdec_new_current,5,300072960,1765.721435546875
44ukf3je,encdec_new_current,5,310067200,1755.6103515625
44ukf3je,encdec_new_current,5,320061440,1798.9365234375
44ukf3je,encdec_new_current,5,330055680,1798.746826171875
44ukf3je,encdec_new_current,5,340049920,1828.6163330078125
44ukf3je,encdec_new_current,5,350044160,1833.520751953125
44ukf3je,encdec_new_current,5,360038400,1830.895751953125
44ukf3je,encdec_new_current,5,370032640,1848.6175537109373
44ukf3je,encdec_new_current,5,380026880,1850.6875
44ukf3je,encdec_new_current,5,390021120,1835.2435302734373
44ukf3je,encdec_new_current,5,400015360,1864.8916015625
44ukf3je,encdec_new_current,5,410009600,1868.9031982421875
44ukf3je,encdec_new_current,5,420003840,1862.5517578125
44ukf3je,encdec_new_current,5,430080000,1864.72265625
44ukf3je,encdec_new_current,5,440074240,1875.2186279296875
44ukf3je,encdec_new_current,5,450068480,1888.1060791015625
44ukf3je,encdec_new_current,5,460062720,1883.310302734375
44ukf3je,encdec_new_current,5,470056960,1871.885009765625
44ukf3je,encdec_new_current,5,480051200,1883.8787841796875
44ukf3je,encdec_new_current,5,490045440,1905.796875
44ukf3je,encdec_new_current,5,500039680,1888.5015869140625
44ukf3je,encdec_new_current,5,510033920,1905.981201171875
44ukf3je,encdec_new_current,5,520028160,1913.348388671875
44ukf3je,encdec_new_current,5,530022400,1904.316650390625
44ukf3je,encdec_new_current,5,540016640,1912.281494140625
44ukf3je,encdec_new_current,5,550010880,1902.127197265625
44ukf3je,encdec_new_current,5,560005120,1900.7083740234373
44ukf3je,encdec_new_current,5,570081280,1902.08740234375
44ukf3je,encdec_new_current,5,580075520,1914.49267578125
44ukf3je,encdec_new_current,5,590069760,1907.847412109375
44ukf3je,encdec_new_current,5,600064000,1901.093505859375
j6mtpyzq,encdec_new_current,10,10076160,627.1886596679688
j6mtpyzq,encdec_new_current,10,20070400,672.21240234375
j6mtpyzq,encdec_new_current,10,30064640,657.5119018554688
j6mtpyzq,encdec_new_current,10,40058880,708.6259765625
j6mtpyzq,encdec_new_current,10,50053120,689.4894409179688
j6mtpyzq,encdec_new_current,10,60047360,688.594482421875
j6mtpyzq,encdec_new_current,10,70041600,719.470947265625
j6mtpyzq,encdec_new_current,10,80035840,728.6634521484375
j6mtpyzq,encdec_new_current,10,90030080,780.8836059570312
j6mtpyzq,encdec_new_current,10,100024320,848.8264770507812
j6mtpyzq,encdec_new_current,10,110018560,877.6011962890625
j6mtpyzq,encdec_new_current,10,120012800,908.6923217773438
j6mtpyzq,encdec_new_current,10,130007040,925.3551635742188
j6mtpyzq,encdec_new_current,10,140001280,967.219970703125
j6mtpyzq,encdec_new_current,10,150077440,976.6220703125
j6mtpyzq,encdec_new_current,10,160071680,973.291015625
j6mtpyzq,encdec_new_current,10,170065920,1008.67724609375
j6mtpyzq,encdec_new_current,10,180060160,1046.322998046875
j6mtpyzq,encdec_new_current,10,190054400,1046.6474609375
j6mtpyzq,encdec_new_current,10,200048640,1069.646728515625
j6mtpyzq,encdec_new_current,10,210042880,1086.427978515625
j6mtpyzq,encdec_new_current,10,220037120,1122.0548095703125
j6mtpyzq,encdec_new_current,10,230031360,1158.2451171875
j6mtpyzq,encdec_new_current,10,240025600,1180.726806640625
j6mtpyzq,encdec_new_current,10,250019840,1186.6475830078125
j6mtpyzq,encdec_new_current,10,260014080,1213.171142578125
j6mtpyzq,encdec_new_current,10,270008320,1245.731201171875
j6mtpyzq,encdec_new_current,10,280002560,1306.653564453125
j6mtpyzq,encdec_new_current,10,290078720,1343.149169921875
j6mtpyzq,encdec_new_current,10,300072960,1387.6038818359375
j6mtpyzq,encdec_new_current,10,310067200,1418.09521484375
j6mtpyzq,encdec_new_current,10,320061440,1468.999267578125
j6mtpyzq,encdec_new_current,10,330055680,1508.736328125
j6mtpyzq,encdec_new_current,10,340049920,1534.3427734375
j6mtpyzq,encdec_new_current,10,350044160,1560.130615234375
j6mtpyzq,encdec_new_current,10,360038400,1592.6279296875
j6mtpyzq,encdec_new_current,10,370032640,1568.0972900390625
j6mtpyzq,encdec_new_current,10,380026880,1599.0970458984375
j6mtpyzq,encdec_new_current,10,390021120,1608.760986328125
j6mtpyzq,encdec_new_current,10,400015360,1634.91162109375
j6mtpyzq,encdec_new_current,10,410009600,1631.2880859375
j6mtpyzq,encdec_new_current,10,420003840,1619.915771484375
j6mtpyzq,encdec_new_current,10,430080000,1631.13818359375
j6mtpyzq,encdec_new_current,10,440074240,1657.469482421875
j6mtpyzq,encdec_new_current,10,450068480,1621.426025390625
j6mtpyzq,encdec_new_current,10,460062720,1671.6060791015625
j6mtpyzq,encdec_new_current,10,470056960,1692.6968994140625
j6mtpyzq,encdec_new_current,10,480051200,1665.4010009765625
j6mtpyzq,encdec_new_current,10,490045440,1692.392822265625
j6mtpyzq,encdec_new_current,10,500039680,1696.8162841796875
j6mtpyzq,encdec_new_current,10,510033920,1686.090087890625
j6mtpyzq,encdec_new_current,10,520028160,1703.353759765625
j6mtpyzq,encdec_new_current,10,530022400,1711.230224609375
j6mtpyzq,encdec_new_current,10,540016640,1718.62060546875
j6mtpyzq,encdec_new_current,10,550010880,1716.094970703125
j6mtpyzq,encdec_new_current,10,560005120,1727.913818359375
j6mtpyzq,encdec_new_current,10,570081280,1729.0323486328125
j6mtpyzq,encdec_new_current,10,580075520,1732.377685546875
j6mtpyzq,encdec_new_current,10,590069760,1730.2457275390625
j6mtpyzq,encdec_new_current,10,600064000,1739.8272705078125
31ayy0ln,encdec_new_current,20,10076160,580.1156005859375
31ayy0ln,encdec_new_current,20,20070400,639.4849853515625
31ayy0ln,encdec_new_current,20,30064640,637.4137573242188
31ayy0ln,encdec_new_current,20,40058880,688.3001708984375
