run_name,delay_k,efference_length,step,network_class,dataset,decode_seed,decode_version,group_version,frac_valid,condition,arm,budget,wandb_id,seed,group,n_layers,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,latent_z,1,delta,False,0.0133357609136806,0.0033016057320501,10000.0,44832,18275,32
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,p_hat,1,delta,False,0.4172566824838698,0.3837991690313506,1000.0,44832,18275,277
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,whole_network,17,delta,False,0.4907526731832027,0.3990889479238457,10000.0,44832,18275,7233
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,decoder,5,proprio,False,0.6897435561361429,0.643061094916721,1000.0,44832,18275,2124
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,encoder,7,proprio,False,0.0892687585285898,0.070263714393488,100000.0,44832,18275,2784
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,fm_plus_decoder,10,proprio,False,0.8132914431211326,0.7526612674814777,10000.0,44832,18275,4449
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,forward_model,5,proprio,False,0.8167737609970568,0.7581578379234362,1000.0,44832,18275,2325
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,input,1,proprio,False,0.6426124026266236,0.5489103982290653,1000.0,44832,18275,1037
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,latent_z,1,proprio,False,0.0347847227380031,0.0326428214781703,10000.0,44832,18275,32
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,p_hat,1,proprio,False,0.8027299406111603,0.7503286000739616,1000.0,44832,18275,277
RodentForwardModel_delay20_eff20-20260811-174441,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.7438529904052429,expfm,explicit,600000000,48icppj0,42,whole_network,17,proprio,False,0.8109279224027577,0.7352396824201689,10000.0,44832,18275,7233
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,decoder,5,delta,False,0.3753785725063049,0.3237750419828916,1000.0,54644,23526,2124
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,encoder,7,delta,False,0.0284993961773215,0.00787500013311,100000.0,54644,23526,2784
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,fm_plus_decoder,10,delta,False,0.6650704573780593,0.6105363214574373,100.0,54644,23526,4449
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,forward_model,5,delta,False,0.6889158857785518,0.6426518492172599,100.0,54644,23526,2325
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,input,1,delta,False,0.83896776056477,0.8045046684336574,100.0,54644,23526,657
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,latent_z,1,delta,False,0.0104492725978103,0.0045024188747839,10000.0,54644,23526,32
