wandb_id,condition,arm,seed,delay_k,step,reward_mean,lifespan_mean,fm_mse_eval,joint_l2_error,termination_rate
25io6a70,expfm,explicit,42,10,10076160,571.9202880859375,223.865234375,0.0612518675625324,2.5711960792541504,0.011677112430334
25io6a70,expfm,explicit,42,10,20070400,600.863037109375,213.7158203125,0.0582907050848007,2.360166311264038,0.0100958822295069
25io6a70,expfm,explicit,42,10,30064640,650.5127563476562,230.3046875,0.0542731806635856,2.248824119567871,0.0085683241486549
25io6a70,expfm,explicit,42,10,40058880,796.2301025390625,264.8466796875,0.0483474135398864,2.2139229774475098,0.0072841886430978
25io6a70,expfm,explicit,42,10,50053120,844.1296997070312,266.53125,0.0411230586469173,2.002858161926269,0.0066256383433938
25io6a70,expfm,explicit,42,10,60047360,862.697509765625,266.080078125,0.0407454073429107,1.8646039962768557,0.006823921110481
25io6a70,expfm,explicit,42,10,70041600,902.119140625,273.4091796875,0.0406550019979476,1.8280041217803955,0.0061789951287209
25io6a70,expfm,explicit,42,10,80035840,943.7327270507812,276.9560546875,0.03897300735116,1.764686107635498,0.0056869266554713
25io6a70,expfm,explicit,42,10,90030080,967.6674194335938,283.3935546875,0.0373416617512702,1.7727274894714355,0.0054328949190676
25io6a70,expfm,explicit,42,10,100024320,984.9834594726562,286.4169921875,0.036650076508522,1.725588083267212,0.0052106878720223
25io6a70,expfm,explicit,42,10,110018560,991.4271240234376,284.3671875,0.0360609516501426,1.7068259716033936,0.0052098329178988
25io6a70,expfm,explicit,42,10,120012800,1070.2608642578125,308.05859375,0.0389322564005851,1.722545862197876,0.0042811902239918
25io6a70,expfm,explicit,42,10,130007040,1074.942138671875,308.681640625,0.041461557149887,1.7345550060272217,0.0044224336743354
25io6a70,expfm,explicit,42,10,140001280,1145.739501953125,325.3095703125,0.0415288023650646,1.710916519165039,0.003763243323192
25io6a70,expfm,explicit,42,10,150077440,1261.988037109375,355.4267578125,0.0398910716176033,1.71397864818573,0.0031681447289884
