wandb_id,wandb_name,wandb_project,state,git_commit,created_at,tags,condition,network,xml,body_target_frame,budget,delay_k,min_std,learning_rate,n_envs,actual_step,gpu,runtime_s,summary_reward,summary_lifespan,final_step,reward_final,reward_peak,peak_step,gain_last_100M_pct,gain_last_500M_pct,steps_to_95pct_of_final,steps_to_99pct_of_final,lifespan_final,reward_at_200M,reward_at_400M,reward_at_600M,reward_at_1000M,reward_at_1500M,reward_at_2000M,lifespan_at_600M,inline_train_reward,inline_train_survived,inline_old_eval_reward,inline_old_eval_survived,inline_new_eval_reward,inline_new_eval_survived
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,emiwar-team/nnx-ppo-rodent-delays,finished,54643764,2026-06-19T07:47:02Z,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",expfm_old_600m,forward_model,old,current_root,600000000,20,0.1,0.0001,4096,600064000.0,NVIDIA H200,13919.266432588,1587.1820068359375,384.4345703125,600064000,1606.9478515625,1610.6921630859374,590069760,2.6478632899167076,61.31181861556183,360038400.0,540016640.0,389.934765625,1347.1793212890625,1539.790185546875,1610.6921630859374,,,,390.901171875,,,,,,
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,emiwar-team/nnx-ppo-rodent-delays,finished,54643764,2026-06-19T08:04:52Z,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",expfm_old_600m,forward_model,old,current_root,600000000,50,0.1,0.0001,4096,600064000.0,NVIDIA H200,14119.906362531,1345.9512939453125,352.9619140625,600064000,1361.5475341796875,1361.5475341796875,600064000,5.034625612497301,58.29843154258991,430080000.0,580075520.0,357.2326171875,978.157421875,1245.801220703125,1359.687353515625,,,,356.68984375,,,,,,
4jp6xwlz,RodentForwardModel_delay0_eff0-20260706-062716,emiwar-team/nnx-ppo-rodent-delays,finished,909e774d,2026-07-06T10:27:20Z,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",expfm_oldref_600m,forward_model,old,reference_root,600000000,0,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,22005.612310044,1957.8184814453125,444.4140625,600064000,1969.807666015625,1973.3831298828125,580075520,0.4808984093659818,23.939391770204075,190054400.0,400015360.0,445.151953125,1872.174560546875,1947.900732421875,1970.6886962890626,,,,445.0912109375,,,,,,
996slefh,RodentForwardModel_delay10_eff10-20260706-062823,emiwar-team/nnx-ppo-rodent-delays,finished,909e774d,2026-07-06T10:28:24Z,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",expfm_oldref_600m,forward_model,old,reference_root,600000000,10,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,22214.644829679,1826.55810546875,430.9267578125,600064000,1819.254541015625,1819.254541015625,600064000,3.260454301197524,68.60772436227703,390021120.0,580075520.0,428.9037109375,1539.2822265625,1738.8433349609375,1807.091259765625,,,,426.498828125,,,,,,
gkphkezd,RodentForwardModel_delay20_eff20-20260706-062824,emiwar-team/nnx-ppo-rodent-delays,finished,909e774d,2026-07-06T10:28:25Z,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",expfm_oldref_600m,forward_model,old,reference_root,600000000,20,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,22484.412549087,1611.5552978515625,391.7880859375,600064000,1605.3355224609375,1605.3355224609375,600064000,2.92955038626046,65.9789734693937,390021120.0,570081280.0,389.49453125,1357.285693359375,1529.5517578125,1597.8240478515625,,,,387.88671875,,,,,,
jsuoivys,RodentForwardModel_delay50_eff50-20260706-062835,emiwar-team/nnx-ppo-rodent-delays,finished,909e774d,2026-07-06T10:28:36Z,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",expfm_oldref_600m,forward_model,old,reference_root,600000000,50,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,23144.218031521,1389.973876953125,360.9580078125,600064000,1352.8634033203125,1352.8634033203125,600064000,2.1584776554559815,57.485108223029016,450068480.0,530022400.0,354.1939453125,961.4096191406248,1237.800048828125,1329.2209716796874,,,,348.8517578125,,,,,,
nsfdsuk2,RodentForwardModel_delay0_eff0_nodetach-20260813-064425,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,nodetach,warp",pgfm_new_2g,pg_forward_model,new,reference_root,2000000000,0,0.1,0.0001,4096,2000076800.0,NVIDIA H200,56264.97477971,2033.510498046875,446.837890625,2000076800,2031.401220703125,2033.2972900390625,1900052480,-0.08456975394603994,0.21648521807278165,260014080.0,830013440.0,446.6091796875,1886.2104736328124,1970.7440185546875,1998.3294677734375,2017.785498046875,2025.9404541015624,2031.423779296875,446.0177734375,2199.25444228015,0.9910846953937592,2177.991175183178,0.9881656804733728,11056.870512008669,0.71875
1dbmh27r,RodentForwardModel_delay10_eff10_nodetach-20260813-064420,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,nodetach,warp",pgfm_new_2g,pg_forward_model,new,reference_root,2000000000,10,0.1,0.0001,4096,2000076800.0,NVIDIA H200,45172.388575111,1932.0458984375,443.5625,2000076800,1924.73896484375,1930.460986328125,1970012160,0.5312357383149058,1.200933072628918,760053760.0,1420001280.0,442.2478515625,949.8053833007813,1587.3110107421876,1784.0977294921875,1871.94150390625,1906.698974609375,1924.2956787109374,427.059765625,2069.185584806581,0.962852897473997,1998.1152402437651,0.9112426035502958,5872.122015953064,0.03125
x1wjdvt9,RodentForwardModel_delay20_eff20_nodetach-20260813-070304,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:03:09Z,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,nodetach,warp",pgfm_new_2g,pg_forward_model,new,reference_root,2000000000,20,0.1,0.0001,4096,2000076800.0,NVIDIA A100-SXM4-80GB,77511.640423545,1712.02734375,414.52734375,2000076800,1703.6587646484375,1703.6587646484375,2000076800,1.6522907099235207,2.9982038673243228,1220034560.0,1920040960.0,413.282421875,797.1351318359375,1049.560595703125,1407.6421142578124,1551.9811279296875,1660.4246337890625,1694.4632080078125,371.7203125,1738.1365648584238,0.7652303120356612,1540.0268769574589,0.6568047337278107,5382.35341835022,0.1875
6jz9o5p4,RodentForwardModel_delay50_eff50_nodetach-20260813-070412,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:04:14Z,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,nodetach,warp",pgfm_new_2g,pg_forward_model,new,reference_root,2000000000,50,0.1,0.0001,4096,2000076800.0,NVIDIA A100-SXM4-80GB,78634.958902534,809.0042114257812,281.984375,2000076800,816.6229370117187,875.8152587890625,660029440,-0.92700759230947,-0.8962069155292518,310067200.0,360038400.0,285.821484375,720.6908081054687,844.902685546875,856.249365234375,833.5184936523438,820.2639526367187,820.9865966796875,288.7130859375,809.1562829435669,0.3684992570579495,744.376885995357,0.33136094674556216,1656.3468222618103,0.0
efc0z8fe,RodentForwardModel_delay0_eff0_nodetach-20260812-072126,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T11:21:32Z,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,nodetach,warp",pgfm_new_600m,pg_forward_model,new,reference_root,600000000,0,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,21725.578526567,1999.728759765625,446.6044921875,600064000,1997.271142578125,1997.3690673828125,590069760,0.48678495195881855,37.5194123676994,190054400.0,430080000.0,446.053125,1899.63515625,1972.506591796875,1997.3690673828125,,,,446.0998046875,2167.109924565807,0.9955423476968795,2131.067245573687,0.9881656804733728,11186.551773071287,0.71875
cgs8q5gj,RodentForwardModel_delay10_eff10_nodetach-20260812-072521,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T11:25:23Z,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,nodetach,warp",pgfm_new_600m,pg_forward_model,new,reference_root,600000000,10,0.1,0.0001,4096,600064000.0,NVIDIA H200,13902.210468274,1753.2088623046875,419.25390625,600064000,1754.7867919921875,1757.350634765625,590069760,2.7563996807915325,148.88016237098958,460062720.0,540016640.0,420.2138671875,945.0279174804688,1576.1086181640626,1757.350634765625,,,,421.149609375,1828.0199242828503,0.8291233283803863,1734.5487459622896,0.7692307692307692,5764.910205364227,0.1875
kwk401pl,RodentForwardModel_delay10_eff10_nodetach-20260812-100602,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:07Z,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,nodetach,warp",pgfm_new_600m,pg_forward_model,new,reference_root,600000000,10,0.1,0.0001,4096,600064000.0,NVIDIA A100-SXM4-80GB,22350.142762658,1775.4158935546875,423.8505859375,600064000,1774.40810546875,1774.40810546875,600064000,4.6805229516381885,141.45696445384743,490045440.0,580075520.0,424.55,973.7860717773438,1615.7595703125,1768.4796142578125,,,,423.8986328125,1856.5338146102024,0.8424962852897474,1760.4528844709228,0.7692307692307692,6896.924999237061,0.25
yt776s6d,RodentForwardModel_delay20_eff20_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:16Z,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,nodetach,warp",pgfm_new_600m,pg_forward_model,new,reference_root,600000000,20,0.1,0.0001,4096,600064000.0,NVIDIA H200,14031.007045009,1438.64404296875,377.072265625,600064000,1399.100537109375,1399.100537109375,600064000,11.261486341891104,111.72322061656148,540016640.0,590069760.0,369.784765625,822.1231689453125,1055.230029296875,1391.119677734375,,,,368.263671875,1417.4109522577205,0.6315007429420505,1297.6101241704275,0.5562130177514792,4133.366011619568,0.0625
lxgp2zfn,RodentForwardModel_delay50_eff50_nodetach-20260812-100615,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-12T14:06:17Z,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,nodetach,warp",pgfm_new_600m,pg_forward_model,new,reference_root,600000000,50,0.1,0.0001,4096,600064000.0,NVIDIA H200,14225.160190405,850.0670166015625,283.49609375,600064000,875.2533935546875,882.1794799804687,590069760,2.336165325538686,44.052254774674026,440074240.0,570081280.0,286.723046875,737.0365844726563,813.7814331054688,882.1794799804687,,,,287.9619140625,847.4812830319908,0.32243684992570576,800.3206477870602,0.3076923076923077,1728.964783191681,0.0
ycs161ow,RodentForwardModel_delay0_eff0_nodetach-20260630-083013,emiwar-team/nnx-ppo-rodent-delays,finished,d4bd4dc0,2026-06-30T12:30:24Z,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,nodetach,warp",pgfm_old_600m,pg_forward_model,old,current_root,600000000,0,0.1,0.0001,4096,600064000.0,NVIDIA H200,13550.295888059,1994.4716796875,446.119140625,600064000,1996.9493896484375,1996.9493896484375,600064000,0.3412795571827276,17.61940897585914,170065920.0,430080000.0,446.295703125,1913.38515625,1972.3154296875,1996.0079345703125,,,,446.20078125,,,,,,
5kut4rjy,RodentForwardModel_delay10_eff10_nodetach-20260630-083050,emiwar-team/nnx-ppo-rodent-delays,finished,d4bd4dc0,2026-06-30T12:30:53Z,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,nodetach,warp",pgfm_old_600m,pg_forward_model,old,current_root,600000000,10,0.1,0.0001,4096,600064000.0,NVIDIA H200,17057.922385121,1842.625244140625,434.0498046875,600064000,1821.793310546875,1821.793310546875,600064000,1.6429727884382128,127.2739958172144,410009600.0,560005120.0,430.475,1301.0142333984375,1725.2475341796876,1814.514794921875,,,,429.551171875,,,,,,
k31whkph,RodentForwardModel_delay20_eff20_nodetach-20260630-083014,emiwar-team/nnx-ppo-rodent-delays,finished,d4bd4dc0,2026-06-30T12:30:24Z,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,nodetach,warp",pgfm_old_600m,pg_forward_model,old,current_root,600000000,20,0.1,0.0001,4096,600064000.0,NVIDIA H200,13926.446335209,1508.4644775390625,382.232421875,600064000,1522.94140625,1522.94140625,600064000,6.120485305520718,134.33990565347358,530022400.0,580075520.0,385.5423828125,930.3191284179687,1378.8042724609375,1522.026806640625,,,,385.385546875,,,,,,
e2gls1el,RodentForwardModel_delay50_eff50_nodetach-20260630-083033,emiwar-team/nnx-ppo-rodent-delays,finished,d4bd4dc0,2026-06-30T12:30:34Z,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,nodetach,warp",pgfm_old_600m,pg_forward_model,old,current_root,600000000,50,0.1,0.0001,4096,600064000.0,NVIDIA H200,14151.477434715,1001.95166015625,287.6279296875,600064000,965.055615234375,965.055615234375,600064000,3.2130186701897268,68.07793855655085,480051200.0,590069760.0,277.2978515625,656.2606811523438,896.9524169921875,957.5652587890625,,,,275.4662109375,,,,,,
