wandb_id,condition,delay_k,budget,step,reward_mean,lifespan_mean
dgv264dt,expfm_new_2g,0,2000000000,10076160,683.2861328125,245.3720703125
dgv264dt,expfm_new_2g,0,2000000000,20070400,806.15283203125,266.361328125
dgv264dt,expfm_new_2g,0,2000000000,30064640,920.8255004882812,282.8779296875
dgv264dt,expfm_new_2g,0,2000000000,40058880,962.6318969726562,284.427734375
dgv264dt,expfm_new_2g,0,2000000000,50053120,1040.6397705078125,295.490234375
dgv264dt,expfm_new_2g,0,2000000000,60047360,1106.350341796875,307.8818359375
dgv264dt,expfm_new_2g,0,2000000000,70041600,1204.9722900390625,332.9130859375
dgv264dt,expfm_new_2g,0,2000000000,80035840,1257.646484375,340.775390625
dgv264dt,expfm_new_2g,0,2000000000,90030080,1428.632080078125,374.2705078125
dgv264dt,expfm_new_2g,0,2000000000,100024320,1587.82763671875,404.7060546875
dgv264dt,expfm_new_2g,0,2000000000,110018560,1704.1641845703125,425.17578125
dgv264dt,expfm_new_2g,0,2000000000,120012800,1740.158935546875,429.4970703125
dgv264dt,expfm_new_2g,0,2000000000,130007040,1762.6502685546875,432.66015625
dgv264dt,expfm_new_2g,0,2000000000,140001280,1815.0701904296875,438.9287109375
dgv264dt,expfm_new_2g,0,2000000000,150077440,1823.2861328125,438.9140625
dgv264dt,expfm_new_2g,0,2000000000,160071680,1807.4139404296875,432.3798828125
dgv264dt,expfm_new_2g,0,2000000000,170065920,1829.004638671875,435.1728515625
dgv264dt,expfm_new_2g,0,2000000000,180060160,1878.5938720703125,441.7685546875
dgv264dt,expfm_new_2g,0,2000000000,190054400,1858.59130859375,438.5517578125
dgv264dt,expfm_new_2g,0,2000000000,200048640,1882.986083984375,441.564453125
dgv264dt,expfm_new_2g,0,2000000000,210042880,1882.8388671875,441.021484375
dgv264dt,expfm_new_2g,0,2000000000,220037120,1896.4100341796875,442.54296875
dgv264dt,expfm_new_2g,0,2000000000,230031360,1905.7335205078125,443.8720703125
