network,delay_k,baseline_600M,new_600M,new_2G_at_600M,new_2G_final,deficit_600M_pct,deficit_2G_pct,replicate_pct,new_2G_gain_last_500M_pct,baseline_gain_last_100M_pct,steps_to_baseline_600M,base_steps_to_90pct,new_steps_to_90pct,slowdown_factor
expfm,0,1971.1289306640624,1976.706689453125,1966.1916748046874,2019.623095703125,0.2829728031632728,2.460222884696095,-0.5319461255704372,0.6109661184749537,0.9822378570794932,610058240.0,140001280.0,160071680.0,1.1433586892919836
expfm,10,1813.21865234375,1776.107958984375,1774.31025390625,1921.651123046875,-2.0466750279347634,5.980110041498099,-0.10121598008902,2.4986247280383678,2.0347577784027404,700006400.0,250019840.0,320061440.0,1.2801441677588468
expfm,20,1610.6921630859374,1636.0240478515625,1617.854345703125,1772.5785400390625,1.5727328502729954,10.050733508441855,-1.1106011658140291,1.3629282091918382,2.9175478886201534,580075520.0,280002560.0,310067200.0,1.1073727325921592
expfm,50,1359.687353515625,1367.3987060546874,1359.617529296875,1574.1480224609375,0.5671415946558511,15.772792796138035,-0.5690495919996263,1.8768927390365509,5.813242555483722,570081280.0,370032640.0,330055680.0,0.8919636927164047
pgfm,0,1996.0079345703125,1997.3690673828125,1998.3294677734375,2031.401220703125,0.06819275559608595,1.7732036791943795,0.048083271454846255,0.2695423051801482,0.31396085955435193,570081280.0,120012800.0,150077440.0,1.2505119453924916
pgfm,10,1814.514794921875,1762.9151245117187,1784.0977294921875,1924.73896484375,-2.843717260094203,6.074580941987895,1.2015669209449742,0.9461373019341357,1.3764647340766212,740065280.0,330055680.0,420003840.0,1.272524199553239
pgfm,20,1522.026806640625,1391.119677734375,1407.6421142578124,1703.6587646484375,-8.600842530177532,11.933558411412303,1.1877077715086504,2.6037996533883945,6.371782634658185,790036480.0,370032640.0,570081280.0,1.5406243081691389
pgfm,50,957.5652587890625,882.1794799804687,856.249365234375,816.6229370117187,-7.872651823639321,-14.7188215616322,-2.9393241777362356,-0.44388341256446084,2.687558790696265,,320061440.0,620052480.0,1.9372920399283338
