condition,wandb_id,wandb_name,git_commit,rollout_length,delay_k,efference_length,eff_ratio,rnn_cell,total_params,actual_step,metric_source,train_reward,old_eval_reward,new_eval_reward,old_eval_lifespan,survived
feedforward,9htwlukh,RodentEncDec_delay0_eff0-20260811-075304,ef060b7,20,0,0,,,4125325.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2179.3645832124116,2144.981657490928,11338.058582305908,484.72189349112426,0.9881656804733728
feedforward,ame77mw2,RodentEncDec_delay0_eff0-20260824-091609,a3450a9,20,0,0,,,4125325.0,600064000.0,inline_final_eval,2171.7270176789734,2146.214943970449,10553.797401428224,484.85798816568047,0.9822485207100592
feedforward,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,ef060b7,20,1,1,1.0,,4144781.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2154.1520522459123,2138.64156978088,9846.615762710571,486.3491124260355,0.9822485207100592
feedforward,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,ef060b7,20,2,2,1.0,,4164237.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2128.328809015464,2133.0231045153014,9623.411611557007,488.85207100591714,0.9940828402366864
feedforward,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,ef060b7,20,3,3,1.0,,4183693.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2101.591054386405,2058.4179872140376,8471.563630104065,474.64497041420117,0.9467455621301775
feedforward,ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,ef060b7,20,4,4,1.0,,4203149.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2104.2665495397787,2052.0899076743945,8682.460566520691,478.0473372781065,0.9526627218934911
feedforward,9j42qevl,RodentEncDec_delay5_eff1-20260825-060037,4245ae4,20,5,1,0.2,,4144781.0,600064000.0,inline_final_eval,1241.7827107853202,1211.0295069767878,4828.212947845459,341.27810650887574,0.5325443786982249
feedforward,7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,ef060b7,20,5,5,1.0,,4222605.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2046.07620427442,1948.682545091979,7279.885705471039,458.5207100591716,0.8994082840236687
feedforward,bzm76mrs,RodentEncDec_delay5_eff5-20260824-091609,a3450a9,20,5,5,1.0,,4222605.0,600064000.0,inline_final_eval,2077.1321867989573,2037.9214627418291,7722.463610649109,476.3609467455621,0.9526627218934912
feedforward,sgad6k6w,RodentEncDec_delay5_eff5-20260827-171038,4245ae4,60,5,5,1.0,,4222605.0,600145920.0,inline_final_eval,2022.814932654552,1916.890192246296,7560.727344512939,458.6213017751479,0.863905325443787
feedforward,c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,ef060b7,20,6,6,1.0,,4242061.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2009.708168483241,1935.3015495616303,7692.589979171753,457.89940828402365,0.8875739644970414
feedforward,904oncgf,RodentEncDec_delay7_eff7-20260811-081755,ef060b7,20,7,7,1.0,,4261517.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,2001.7687461252199,1945.8291903614293,7421.785608291626,459.4733727810651,0.9053254437869822
feedforward,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,ef060b7,20,8,8,1.0,,4280973.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1977.775785449001,1888.5723069772212,7801.659132003784,452.8757396449704,0.8461538461538461
feedforward,xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,ef060b7,20,9,9,1.0,,4300429.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1927.1014443180713,1855.6081334853313,5815.577651500702,451.81065088757396,0.8520710059171598
feedforward,usv6hlqd,RodentEncDec_delay10_eff0-20260825-072407,4245ae4,20,10,0,0.0,,4125325.0,600064000.0,inline_final_eval,906.5350132527004,886.4608423357179,1855.2320024967191,295.4852071005917,0.3905325443786982
feedforward,5sdstqym,RodentEncDec_delay10_eff1-20260825-060045,4245ae4,60,10,1,0.1,,4144781.0,600145920.0,inline_final_eval,991.9674915920218,982.9516101814586,2118.407855987549,307.26627218934914,0.40828402366863903
feedforward,vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,ef060b7,20,10,10,1.0,,4319885.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1862.6316101845093,1755.1557274090467,5575.568828821182,430.7100591715976,0.7810650887573964
feedforward,ph7zg573,RodentEncDec_delay10_eff10-20260827-161444,4245ae4,60,10,10,1.0,,4319885.0,600145920.0,inline_final_eval,1792.3589012406733,1640.6863570805838,7314.0078592300415,413.0650887573965,0.7692307692307692
feedforward,op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,ef060b7,20,12,12,1.0,,4358797.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1758.1273503863263,1641.580596652962,4996.6733751297,414.84615384615387,0.7396449704142012
feedforward,mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,ef060b7,20,15,15,1.0,,4417165.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1667.69471195442,1523.4743777845033,4779.764367103577,395.2307692307692,0.6686390532544378
feedforward,987ogwye,RodentEncDec_delay20_eff1-20260827-174227,4245ae4,60,20,1,0.05,,4144781.0,600145920.0,inline_final_eval,922.3985524510558,887.106067815476,1941.734983444214,299.40236686390534,0.3668639053254438
feedforward,7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,ef060b7,20,20,20,1.0,,4514445.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1468.9592799601903,1279.841878089679,3620.543797969818,352.56804733727813,0.5088757396449703
feedforward,hziohlkp,RodentEncDec_delay20_eff20-20260827-161444,4245ae4,60,20,20,1.0,,4514445.0,600145920.0,inline_final_eval,1308.7184758746075,1181.3998895679,2514.4520778656006,342.301775147929,0.485207100591716
feedforward,8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,ef060b7,20,25,25,1.0,,4611725.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1242.8523623167493,1142.1241159382657,3222.6357703208923,335.27810650887574,0.4674556213017751
feedforward,94dxkjjb,RodentEncDec_delay30_eff1-20260827-174133,4245ae4,60,30,1,0.03333333333333333,,4144781.0,600145920.0,inline_final_eval,845.7501847605826,842.517825922317,1560.9826383590698,298.7869822485207,0.4023668639053254
feedforward,2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,ef060b7,20,30,30,1.0,,4709005.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1161.0757149842307,1056.8954420371874,2690.941180706024,320.4556213017751,0.40828402366863903
feedforward,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,ef060b7,20,40,40,1.0,,4903565.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,1020.7550695796247,929.0144781078812,2444.2315559387207,301.59763313609466,0.40828402366863903
feedforward,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,ef060b7,20,50,50,1.0,,5098125.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,899.0241398690891,823.3253044263851,1472.1262245178223,277.14792899408286,0.2781065088757396
feedforward,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,ef060b7,20,60,60,1.0,,5292685.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,833.070503597628,767.9190298678607,1165.548586845398,280.2248520710059,0.3076923076923077
feedforward,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,ef060b7,20,70,70,1.0,,5487245.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,881.4089407956263,797.0708262426614,1347.4772534370422,273.63313609467457,0.28402366863905326
feedforward,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,ef060b7,20,80,80,1.0,,5681805.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,824.1589624027972,754.5544285520294,1296.0780186653137,268.0295857988166,0.23076923076923073
feedforward,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,ef060b7,20,90,90,1.0,,5876365.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,828.9853210789311,723.2679883065308,1277.9281778335571,263.26627218934914,0.23668639053254437
feedforward,48llced7,RodentEncDec_delay100_eff100-20260811-094548,ef060b7,20,100,100,1.0,,6070925.0,600064000.0,artifact:eval3ds-n00-6a6b8d4e,747.6642392457505,677.4251046716814,1030.2333879470825,248.23668639053255,0.16568047337278102
forward_model,zgo44kgt,RodentForwardModel_delay10_eff10-20260824-131740,4245ae4,20,10,10,1.0,,5392290.0,600064000.0,inline_final_eval,1869.6229638812447,1758.945929171771,7090.776913642883,430.8106508875739,0.7988165680473372
forward_model,d06nwjty,RodentForwardModel_delay10_eff10-20260825-071333,4245ae4,60,10,10,1.0,,5392290.0,600145920.0,inline_final_eval,1848.4079683482385,1744.0882632012904,7846.329689025879,429.23668639053255,0.8106508875739645
gru,p8k64jcr,RodentEncDecGRU_delay10_eff10-20260827-174227,4245ae4,60,10,10,1.0,gru,5894285.0,600145920.0,inline_final_eval,1909.318141160713,1845.7235106970431,6530.979789733887,445.8994082840237,0.8402366863905325
lstm,dbcnv2pr,RodentEncDecLSTM_delay0_eff1-20260827-174135,4245ae4,60,0,1,,lstm,6243981.0,600145920.0,inline_final_eval,2180.719613017158,2166.5022969443417,10789.555356025696,486.6568047337278,0.9881656804733728
lstm,f5qd7igw,RodentEncDecLSTM_delay2_eff1-20260827-174135,4245ae4,60,2,1,0.5,lstm,6243981.0,600145920.0,inline_final_eval,2131.722548588247,2067.4137793095156,11053.882581710815,473.0414201183432,0.9467455621301776
lstm,fut020mc,RodentEncDecLSTM_delay5_eff1-20260824-155608,4245ae4,20,5,1,0.2,lstm,6243981.0,600064000.0,inline_final_eval,2070.3502386129985,1983.6094746787169,7865.677473068237,468.4260355029586,0.9053254437869822
lstm,y16p9cdf,RodentEncDecLSTM_delay7_eff1-20260827-174134,4245ae4,60,7,1,0.14285714285714285,lstm,6243981.0,600145920.0,inline_final_eval,1933.8038980107071,1830.515889455581,8250.683562755585,445.905325443787,0.8461538461538461
lstm,vx4zrzed,RodentEncDecLSTM_delay10_eff1-20260824-155608,4245ae4,20,10,1,0.1,lstm,6243981.0,600064000.0,inline_final_eval,1676.1984253383143,1510.884954238079,4338.1311893463135,376.0828402366864,0.6213017751479291
lstm,ykovjkpw,RodentEncDecLSTM_delay10_eff1-20260825-083459,4245ae4,40,10,1,0.1,lstm,6243981.0,600145920.0,inline_final_eval,1720.7372872294502,1662.998876402364,5498.3393297195435,416.3491124260355,0.7218934911242604
lstm,4ft79293,RodentEncDecLSTM_delay10_eff1-20260825-070949,4245ae4,60,10,1,0.1,lstm,6243981.0,600145920.0,inline_final_eval,1718.7868289805806,1654.3203245083962,6540.220336437225,413.76331360946745,0.7337278106508875
lstm,a214jol0,RodentEncDecLSTM_delay10_eff10-20260824-131742,4245ae4,20,10,10,1.0,lstm,6419085.0,600064000.0,inline_final_eval,1894.470308017589,1767.0209899992633,5572.834497928619,423.79881656804736,0.7751479289940828
lstm,d08in1g9,RodentEncDecLSTM_delay10_eff10-20260825-070956,4245ae4,60,10,10,1.0,lstm,6419085.0,600145920.0,inline_final_eval,1993.28562317348,1911.9571998641336,8489.468250751495,458.84615384615387,0.8816568047337279
lstm,wcawhv4s,RodentEncDecLSTM_delay15_eff1-20260827-174239,4245ae4,60,15,1,0.06666666666666667,lstm,6243981.0,600145920.0,inline_final_eval,1427.5083673145584,1289.5412268553964,3034.0700447559357,348.2544378698225,0.5325443786982249
lstm,916lpa00,RodentEncDecLSTM_delay20_eff1-20260827-171042,4245ae4,60,20,1,0.05,lstm,6243981.0,600145920.0,inline_final_eval,1283.701959244387,1232.6200028368708,2979.5610795021057,353.14792899408286,0.5207100591715976
lstm,0th32va5,RodentEncDecLSTM_delay20_eff20-20260827-194744,4245ae4,60,20,20,1.0,lstm,6613645.0,600145920.0,inline_final_eval,1550.994676360404,1447.0167179897692,4390.125196933746,382.7692307692308,0.6390532544378698
lstm,a2brzd7t,RodentEncDecLSTM_delay30_eff1-20260827-174239,4245ae4,60,30,1,0.03333333333333333,lstm,6243981.0,600145920.0,inline_final_eval,1171.6779097717194,1109.9930451071475,2484.009832382202,343.8757396449704,0.4970414201183432
lstm,4scajgt4,RodentEncDecLSTM_delay30_eff30-20260827-161446,4245ae4,60,30,30,1.0,lstm,6808205.0,600145920.0,inline_final_eval,1279.9771301473586,1209.3927194719483,2820.798475265503,342.08284023668637,0.5029585798816568
lstm,x0e1y5o2,RodentEncDecLSTM_delay40_eff1-20260827-174239,4245ae4,60,40,1,0.025,lstm,6243981.0,600145920.0,inline_final_eval,1025.3190941888545,953.5193630421657,1697.4690945148468,310.0591715976331,0.3727810650887574
lstm,zmtmlvwz,RodentEncDecLSTM_delay50_eff1-20260827-171143,4245ae4,60,50,1,0.02,lstm,6243981.0,600145920.0,inline_final_eval,995.4467352290388,941.1110210531562,1731.5468220710754,317.3609467455621,0.4023668639053254
lstm,s5ljwe6x,RodentEncDecLSTM_delay60_eff1-20260827-194744,4245ae4,60,60,1,0.016666666666666666,lstm,6243981.0,600145920.0,inline_final_eval,955.9821309150594,897.3711264796511,1854.054964542389,302.6568047337278,0.36094674556213013
rnn,z15cqas5,RodentEncDecRNN_delay5_eff1-20260827-174134,4245ae4,60,5,1,0.2,rnn,4669581.0,600145920.0,inline_final_eval,1932.755266277432,1856.910118057883,8789.29815864563,453.92899408284023,0.8875739644970414
rnn,8nkb8v35,RodentEncDecRNN_delay10_eff10-20260827-174134,4245ae4,60,10,10,1.0,rnn,4844685.0,600145920.0,inline_final_eval,1654.1861483048187,1489.7806905712605,6465.2950983047485,379.15976331360946,0.6272189349112426
rnn,tgj55pu2,RodentEncDecRNN_delay20_eff10-20260827-174135,4245ae4,60,20,10,0.5,rnn,4844685.0,600145920.0,inline_final_eval,1211.4724416406866,1092.2570404413889,2724.3703179359436,331.9408284023669,0.47337278106508873
