condition,budget,task,wandb_id,wandb_name,created_at,git_commit,nnx_ppo_commit,vnl_experiments_dirty,gpu,delay,efference_length,seed,min_std,actual_step,ctrl_dt,reward_source,reward_last_point,reward_final,reward_final_n,reward_max,reward_max_step,smooth_max,curve_points,curve_max_step,solved_800,steps_to_800,solved_900,steps_to_900,solved_950,steps_to_950
delayed_mlp,1000000000,WalkerWalk,qt2rwbr3,WalkerWalk_DelayedMLP_delay5_eff5-20260911-095529,2026-09-11T13:55:52Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,False,NVIDIA A100-SXM4-80GB,5,5,43,0.001,1000243200.0,0.025,dmc_eval,969.448974609375,969.1592152913412,84,970.3190307617188,945684480,969.651751349954,1667,1000243200,True,53575680.0,True,60702720.0,True,112312320.0
delayed_mlp,1000000000,WalkerWalk,8yg1tuyy,WalkerWalk_DelayedMLP_delay5_eff5-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,5,5,46,0.001,1000243200.0,0.025,dmc_eval,968.6075439453124,968.7798832484654,84,973.0333862304688,922828800,972.0570714613971,1667,1000243200,True,50626560.0,True,57753600.0,True,78643200.0
delayed_mlp,1000000000,WalkerWalk,lrrbnmz9,WalkerWalk_DelayedMLP_delay10_eff10-20260911-063618,2026-09-11T10:36:38Z,f9c8960df44b196f8a6cb9f5ec2b49780d9ab360,1725d2009c78a18a8b5bc9e8e236800c5320e966,False,NVIDIA A100-SXM4-80GB,10,10,43,0.001,1000243200.0,0.025,dmc_eval,942.56298828125,941.9730842227027,84,944.5167236328124,998522880,943.1787827435662,1667,1000243200,True,631848960.0,True,646348800.0,False,
delayed_mlp,1000000000,WalkerWalk,e9e1text,WalkerWalk_DelayedMLP_delay10_eff10-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,10,10,46,0.001,1000243200.0,0.025,dmc_eval,946.2910766601562,945.1851719447544,84,947.462646484375,987709440,945.9324340820312,1667,1000243200,True,574341120.0,True,588840960.0,False,
delayed_mlp,1000000000,WalkerWalk,d8tw15kf,WalkerWalk_DelayedMLP_delay15_eff15-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,15,15,46,0.001,1000243200.0,0.025,dmc_eval,756.0785522460938,748.7273966471354,84,756.0785522460938,1000243200,751.8559211282169,1667,1000243200,False,,False,,False,
delayed_mlp,1000000000,WalkerWalk,wb3qdz5g,WalkerWalk_DelayedMLP_delay20_eff20-20260911-063618,2026-09-11T10:36:38Z,f9c8960df44b196f8a6cb9f5ec2b49780d9ab360,1725d2009c78a18a8b5bc9e8e236800c5320e966,False,NVIDIA A100-SXM4-80GB,20,20,43,0.001,1000243200.0,0.025,dmc_eval,605.00537109375,598.7582172212146,84,606.5552978515625,999751680,602.6062298943015,1667,1000243200,False,,False,,False,
delayed_mlp,1000000000,WalkerWalk,qvvivhpj,WalkerWalk_DelayedMLP_delay20_eff20-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,20,20,46,0.001,1000243200.0,0.025,dmc_eval,555.2194213867188,555.3578701927548,84,560.8961181640625,975667200,558.3021455652573,1667,1000243200,False,,False,,False,
delayed_mlp,1000000000,WalkerWalk,klx83qee,WalkerWalk_DelayedMLP_delay25_eff25-20260911-065658,2026-09-11T10:57:10Z,f9c8960df44b196f8a6cb9f5ec2b49780d9ab360,1725d2009c78a18a8b5bc9e8e236800c5320e966,True,NVIDIA A100-SXM4-80GB,25,25,43,0.001,1000243200.0,0.025,dmc_eval,587.27978515625,582.0867709205264,84,588.460693359375,998031360,584.8783677045037,1667,1000243200,False,,False,,False,
delayed_mlp,1000000000,WalkerWalk,vl2lu8ge,WalkerWalk_DelayedMLP_delay25_eff25-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,25,25,46,0.001,1000243200.0,0.025,dmc_eval,518.2993774414062,515.4627235049293,84,520.1138305664062,989429760,517.1873779296875,1667,1000243200,False,,False,,False,
flat_forward_model,1000000000,WalkerWalk,emgexiis,WalkerWalk_FlatForwardModel_delay0_eff0-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,0,0,46,0.001,1000243200.0,0.025,dmc_eval,979.2266235351562,979.8754657563709,84,981.103759765625,957726720,980.6461863798254,1667,1000243200,True,36618240.0,True,47431680.0,True,88965120.0
flat_forward_model,1000000000,WalkerWalk,kv9n0wke,WalkerWalk_FlatForwardModel_delay10_eff10-20260911-101245,2026-09-11T14:12:57Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA A100-SXM4-80GB,10,10,43,0.001,1000243200.0,0.025,dmc_eval,969.6786499023438,970.6042960030692,84,971.79541015625,951091200,971.0938002642463,1667,1000243200,True,136396800.0,True,193904640.0,True,550993920.0
flat_forward_model,1000000000,WalkerWalk,jkl1pbwo,WalkerWalk_FlatForwardModel_delay10_eff10-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,10,10,46,0.001,1000243200.0,0.025,dmc_eval,969.2125244140624,969.3478771391369,84,970.4093017578124,871956480,969.6796946806066,1667,1000243200,True,118947840.0,True,129024000.0,True,150159360.0
flat_forward_model,1000000000,WalkerWalk,q0hmxbcn,WalkerWalk_FlatForwardModel_delay15_eff15-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,15,15,46,0.001,1000243200.0,0.025,dmc_eval,960.6697998046876,962.6151370093936,84,964.7149658203124,980582400,963.4372414981617,1667,1000243200,True,171786240.0,True,180142080.0,True,263454720.0
flat_forward_model,1000000000,WalkerWalk,gqmlj9v3,WalkerWalk_FlatForwardModel_delay20_eff20-20260911-101245,2026-09-11T14:12:57Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,20,20,43,0.001,1000243200.0,0.025,dmc_eval,958.6516723632812,959.3944949195499,84,961.5224609375,994344960,960.0662734087775,1667,1000243200,True,177192960.0,True,201768960.0,True,384122880.0
flat_forward_model,1000000000,WalkerWalk,q6qw38i6,WalkerWalk_FlatForwardModel_delay20_eff20-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,20,20,46,0.001,1000243200.0,0.025,dmc_eval,946.117919921875,946.0467413039435,84,949.08203125,955269120,947.142344755285,1667,1000243200,True,319979520.0,True,376258560.0,False,
flat_forward_model,1000000000,WalkerWalk,b3n2s2e8,WalkerWalk_FlatForwardModel_delay25_eff25-20260911-100818,2026-09-11T14:08:31Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA A100-SXM4-80GB,25,25,43,0.001,1000243200.0,0.025,dmc_eval,751.5640869140625,754.7800728934152,84,759.762939453125,955269120,757.0813778147977,1667,1000243200,False,,False,,False,
flat_forward_model,1000000000,WalkerWalk,ux5zpb3v,WalkerWalk_FlatForwardModel_delay25_eff25-20260914-121245,2026-09-14T16:12:55Z,9e216aee027f43dcd7a40157e9cad7e727a9c3e2,531427933bbca8a1558974319720c55b32659a76,True,NVIDIA H200,25,25,46,0.001,1000243200.0,0.025,dmc_eval,944.98486328125,946.139171781994,84,949.8090209960938,892354560,947.8033914005055,1667,1000243200,True,448266240.0,True,503562240.0,False,
