wandb_id,condition,delay_k,efference_length,step,reward_mean,lifespan_mean,encoder_kl,action_sigma,joint_l2_error,root_pos_distance,termination_rate,term_root_too_far
16jfo5vu,pos_efference,0,0,0,450.9605712890625,211.1328125,3.2240443229675293,0.8096358776092529,3.043619394302368,0.0545823462307453,0.0134029276669025,0.0105635821819305
16jfo5vu,pos_efference,0,0,10076160,841.1007080078125,267.8876953125,6.742475509643555,0.5962274670600891,1.979721188545227,0.0268448330461978,0.0060983095318078,0.0052645998075604
16jfo5vu,pos_efference,0,0,20070400,1105.2811279296875,314.5556640625,7.450027465820312,0.5222071409225464,1.7187480926513672,0.019163679331541,0.0042299814522266,0.0036619037855416
16jfo5vu,pos_efference,0,0,30064640,1374.3026123046875,367.599609375,8.087977409362793,0.4770719707012176,1.5933732986450195,0.0146151036024093,0.0022729588672518,0.0018846952589228
16jfo5vu,pos_efference,0,0,40058880,1515.267333984375,396.5439453125,9.800651550292969,0.4456423819065094,1.5635274648666382,0.0124185103923082,0.0013401304604485,0.0010269357590004
16jfo5vu,pos_efference,0,0,50053120,1558.176025390625,401.681640625,10.66263198852539,0.4191255569458008,1.508272647857666,0.0123492693528532,0.0011717800516635,0.0009187096729874
16jfo5vu,pos_efference,0,0,60047360,1682.9117431640625,421.115234375,11.932805061340332,0.3978760838508606,1.4646599292755127,0.0103767849504947,0.0007065953686833,0.0005879179807379
16jfo5vu,pos_efference,0,0,70041600,1704.6363525390625,422.513671875,12.335471153259276,0.3910502791404724,1.4457756280899048,0.0096998605877161,0.0006845695897936,0.0005890859756618
16jfo5vu,pos_efference,0,0,80035840,1745.672607421875,431.3896484375,12.913423538208008,0.3767136931419372,1.4384874105453491,0.0091890981420874,0.0004231517086736,0.0003267750435043
16jfo5vu,pos_efference,0,0,90030080,1768.7781982421875,433.166015625,13.56788444519043,0.3633532524108886,1.413257122039795,0.0092493966221809,0.0004115792689844,0.000299533130601
16jfo5vu,pos_efference,0,0,100024320,1745.1673583984375,426.896484375,13.85811710357666,0.3575192987918854,1.436316728591919,0.008541164919734,0.0005207866197451,0.0004031481803394
16jfo5vu,pos_efference,0,0,110018560,1757.4415283203125,428.4521484375,14.39623737335205,0.352067083120346,1.407034993171692,0.0091081755235791,0.0004875395388808,0.0003643822856247
16jfo5vu,pos_efference,0,0,120012800,1802.833251953125,435.3466796875,14.63385772705078,0.343350350856781,1.3983618021011353,0.0082277413457632,0.0003309852909296,0.0002833272446878
