condition,wandb_id,wandb_name,created_at,state
pos_efference,16jfo5vu,RodentEncDec_delay0_eff0-job43322478,2026-08-31T21:33:42Z,finished
pos_efference,fc16jeym,RodentEncDec_delay1_eff1-job43642064,2026-09-01T18:23:39Z,finished
pos_efference,jtl5r0px,RodentEncDec_delay10_eff10-job43322539,2026-08-31T21:31:27Z,finished
pos_efference,n5hhjw6a,RodentEncDec_delay300_eff300-job43322668,2026-08-31T21:33:42Z,finished
pos_efference,oj46iwi6,RodentEncDec_delay5_eff5-job43322503,2026-08-31T21:33:42Z,finished
pos_efference,vd2z944s,RodentEncDec_delay0_eff0-job43609004,2026-09-01T16:21:35Z,finished
pos_efference,vrbevz29,RodentEncDec_delay100_eff100-job43322628,2026-08-31T21:33:42Z,finished
pos_efference,yzofpm31,RodentEncDec_delay20_eff20-job43322590,2026-08-31T21:33:42Z,finished
pos_efference,z764he2u,RodentEncDec_delay50_eff50-job43322605,2026-08-31T21:33:42Z,finished
pos_kl_sweep,0g7xvoz3,RodentEncDec_delay0_eff0-job43609191,2026-09-01T16:14:23Z,finished
pos_kl_sweep,chic4hzh,RodentEncDec_delay0_eff0-job43609099,2026-09-01T16:21:35Z,finished
pos_kl_sweep,eeoadzkw,RodentEncDec_delay0_eff0-job43609299,2026-09-01T16:21:35Z,finished
pos_kl_sweep,xy34ff05,RodentEncDec_delay0_eff0-job43609267,2026-09-01T16:21:35Z,finished
pos_no_efference,n4amxgv0,RodentEncDec_delay10_eff0-job43323388,2026-08-31T21:35:25Z,finished
pos_nointent,9hyirkcx,RodentEncDec_delay10_eff10_nointent-job43323571,2026-08-31T21:35:25Z,finished
pos_noproprio,23267t68,RodentEncDec_delay5_eff0_noproprio-job43642407,2026-09-01T19:17:08Z,finished
pos_noproprio,3gw1ndwj,RodentEncDec_delay10_eff10_noproprio-job43323713,2026-08-31T21:35:50Z,finished
pos_noproprio,dkglvuw8,RodentEncDec_delay0_eff0_noproprio-job43605398,2026-09-01T16:21:35Z,finished
pos_noproprio,mbjli503,RodentEncDec_delay5_eff5_noproprio-job43642337,2026-09-01T19:17:08Z,finished
pos_noproprio,wbyipflf,RodentEncDec_delay0_eff0_noproprio-job43605123,2026-09-01T16:21:35Z,finished
prev_pos_efference,2ecbceb0,RodentEncDec_delay5_eff5-20260706-105738,2026-07-06T14:57:39Z,finished
prev_pos_efference,5nkfsp9k,RodentEncDec_delay7_eff7-20260707-090730,2026-07-07T13:07:31Z,finished
prev_pos_efference,8di7zd23,RodentEncDec_delay15_eff15-20260707-090757,2026-07-07T13:07:59Z,finished
prev_pos_efference,8ykr1nha,RodentEncDec_delay20_eff20-20260706-105901,2026-07-06T14:59:02Z,finished
prev_pos_efference,95c5q3ct,RodentEncDec_delay6_eff6-20260707-090727,2026-07-07T13:07:29Z,finished
prev_pos_efference,9lycwxlg,RodentEncDec_delay100_eff100-20260706-171321,2026-07-06T21:13:22Z,finished
prev_pos_efference,ec0i0481,RodentEncDec_delay25_eff25-20260707-092552,2026-07-07T13:25:57Z,finished
prev_pos_efference,ixcxllws,RodentEncDec_delay8_eff8-20260707-090735,2026-07-07T13:07:36Z,finished
prev_pos_efference,lrolo3mu,RodentEncDec_delay9_eff9-20260707-090744,2026-07-07T13:07:45Z,finished
prev_pos_efference,nek7c77v,RodentEncDec_delay12_eff12-20260707-090750,2026-07-07T13:07:51Z,finished
prev_pos_efference,nsnfdku1,RodentEncDec_delay30_eff30-20260707-090909,2026-07-07T13:09:10Z,finished
prev_pos_efference,p57vkvkk,RodentEncDec_delay70_eff70-20260706-171312,2026-07-06T21:13:14Z,finished
prev_pos_efference,shi2kpky,RodentEncDec_delay50_eff50-20260706-110520,2026-07-06T15:05:21Z,finished
prev_pos_efference,trd8wxes,RodentEncDec_delay2_eff2-20260706-105513,2026-07-06T14:55:14Z,finished
prev_pos_efference,uo9l3o1s,RodentEncDec_delay90_eff90-20260707-090935,2026-07-07T13:09:36Z,finished
prev_pos_efference,vafxejxs,RodentEncDec_delay60_eff60-20260707-092613,2026-07-07T13:26:14Z,finished
prev_pos_efference,vhb10bbx,RodentEncDec_delay80_eff80-20260707-090938,2026-07-07T13:09:39Z,finished
prev_pos_efference,vqs4c6f6,RodentEncDec_delay3_eff3-20260707-090642,2026-07-07T13:06:53Z,finished
prev_pos_efference,wl9tuybw,RodentEncDec_delay4_eff4-20260707-090714,2026-07-07T13:07:15Z,finished
prev_pos_efference,wx2sx7a9,RodentEncDec_delay40_eff40-20260707-092552,2026-07-07T13:25:57Z,finished
prev_pos_efference,xzhowley,RodentEncDec_delay10_eff10-20260706-105738,2026-07-06T14:57:39Z,finished
prev_pos_efference,zjuovm3u,RodentEncDec_delay0_eff0-20260706-105452,2026-07-06T14:55:03Z,finished
prev_torque_efference,1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,2026-06-11T16:09:57Z,finished
prev_torque_efference,2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,2026-06-11T16:09:06Z,finished
prev_torque_efference,5d5tvuuv,RodentEncDec_delay8_eff8-20260611-120725,2026-06-11T16:07:26Z,finished
prev_torque_efference,68b8d25g,RodentEncDec_delay1_eff1-20260611-103118,2026-06-11T14:31:29Z,finished
prev_torque_efference,734woltb,RodentEncDec_delay0_eff0-20260612-065718,2026-06-12T10:57:30Z,finished
prev_torque_efference,8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,2026-06-11T16:06:55Z,finished
prev_torque_efference,a6929dxz,RodentEncDec_delay7_eff7-20260611-120818,2026-06-11T16:08:20Z,finished
prev_torque_efference,fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,2026-06-11T16:09:07Z,finished
prev_torque_efference,fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,2026-06-11T16:09:57Z,finished
prev_torque_efference,gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,2026-06-11T16:09:05Z,finished
