wandb_id,condition,servo_kp,delay,seed,step,reward_mean,reward_smooth
msj9aand,torque,0.0,0,42,4915200,217.2116851806641,
msj9aand,torque,0.0,0,42,9830400,398.392578125,
msj9aand,torque,0.0,0,42,14499840,667.850341796875,
msj9aand,torque,0.0,0,42,19415040,893.0948486328125,
msj9aand,torque,0.0,0,42,24084480,933.1085815429688,621.931607055664
msj9aand,torque,0.0,0,42,28999680,941.863037109375,766.8618774414062
msj9aand,torque,0.0,0,42,33669120,948.4580078125,797.1278991699219
msj9aand,torque,0.0,0,42,38584320,952.21337890625,933.7475708007812
msj9aand,torque,0.0,0,42,43253760,955.2910766601562,937.3381551106771
msj9aand,torque,0.0,0,42,48168960,956.1495971679688,950.79501953125
msj9aand,torque,0.0,0,42,52838400,954.893310546875,951.4780680338541
msj9aand,torque,0.0,0,42,57753600,952.94091796875,954.29765625
msj9aand,torque,0.0,0,42,62423040,952.8028564453124,954.0485229492188
msj9aand,torque,0.0,0,42,67338240,958.4508056640624,955.0474975585937
msj9aand,torque,0.0,0,42,72007680,955.905517578125,955.1905008951823
msj9aand,torque,0.0,0,42,76922880,958.6112060546876,955.7422607421875
msj9aand,torque,0.0,0,42,81838080,958.521484375,956.8583740234375
msj9aand,torque,0.0,0,42,86507520,960.192626953125,958.336328125
msj9aand,torque,0.0,0,42,91422720,959.67626953125,958.5814208984375
msj9aand,torque,0.0,0,42,96092160,960.93994140625,959.5883056640625
msj9aand,torque,0.0,0,42,101007360,958.4675903320312,959.5595825195312
msj9aand,torque,0.0,0,42,105676800,958.8558959960938,959.4423014322916
msj9aand,torque,0.0,0,42,110592000,964.1755981445312,960.4230590820313
msj9aand,torque,0.0,0,42,115261440,961.18701171875,960.5503845214844
msj9aand,torque,0.0,0,42,120176640,964.2825927734376,961.3937377929688
msj9aand,torque,0.0,0,42,124846080,965.5777587890624,962.091074625651
msj9aand,torque,0.0,0,42,129761280,966.513427734375,964.3472778320313
msj9aand,torque,0.0,0,42,134430720,966.937744140625,964.7790222167969
msj9aand,torque,0.0,0,42,139345920,964.4544067382812,965.5531860351563
msj9aand,torque,0.0,0,42,144015360,964.0198974609376,965.2976379394531
msj9aand,torque,0.0,0,42,148930560,964.89794921875,965.3646850585938
msj9aand,torque,0.0,0,42,153600000,966.3175048828124,965.5234883626302
msj9aand,torque,0.0,0,42,158515200,964.04248046875,964.7464477539063
msj9aand,torque,0.0,0,42,163430400,966.30126953125,965.1158203125
msj9aand,torque,0.0,0,42,168099840,966.2373657226562,965.5593139648438
msj9aand,torque,0.0,0,42,173015040,966.666259765625,965.9129760742187
msj9aand,torque,0.0,0,42,177684480,965.81884765625,965.8132446289062
msj9aand,torque,0.0,0,42,182599680,969.4478759765624,966.8943237304687
msj9aand,torque,0.0,0,42,187269120,968.8484497070312,967.2200113932291
msj9aand,torque,0.0,0,42,192184320,969.3338623046876,968.0230590820313
msj9aand,torque,0.0,0,42,196853760,969.3901977539062,968.2509155273438
msj9aand,torque,0.0,0,42,201768960,970.1326293945312,969.4306030273438
msj9aand,torque,0.0,0,42,206438400,970.8927001953124,969.6742858886719
msj9aand,torque,0.0,0,42,211353600,970.903076171875,970.1304931640625
msj9aand,torque,0.0,0,42,216023040,970.4713134765624,970.1872965494791
msj9aand,torque,0.0,0,42,220938240,971.4685668945312,970.7736572265625
msj9aand,torque,0.0,0,42,225607680,971.8855590820312,970.958974202474
msj9aand,torque,0.0,0,42,230522880,971.8779296875,971.3212890625
msj9aand,torque,0.0,0,42,235438080,971.7576293945312,971.4921997070312
msj9aand,torque,0.0,0,42,240107520,971.881591796875,971.7742553710938
msj9aand,torque,0.0,0,42,245022720,972.01806640625,971.8841552734375
msj9aand,torque,0.0,0,42,249692160,972.0234375,971.9117309570313
msj9aand,torque,0.0,0,42,254607360,973.4395751953124,972.2240600585938
msj9aand,torque,0.0,0,42,259276800,972.1001586914062,972.2034098307291
msj9aand,torque,0.0,0,42,264192000,971.3167724609376,972.1796020507812
msj9aand,torque,0.0,0,42,268861440,973.3466796875,972.3741149902344
msj9aand,torque,0.0,0,42,273776640,972.3194580078124,972.5045288085937
msj9aand,torque,0.0,0,42,278446080,974.6163330078124,972.8564961751302
msj9aand,torque,0.0,0,42,283361280,974.2176513671876,973.16337890625
msj9aand,torque,0.0,0,42,288030720,974.5276489257812,973.3907572428385
msj9aand,torque,0.0,0,42,292945920,974.8367919921876,974.1035766601562
msj9aand,torque,0.0,0,42,297615360,974.8187255859376,974.2227681477865
msj9aand,torque,0.0,0,42,302530560,974.2904052734376,974.5382446289062
msj9aand,torque,0.0,0,42,307200000,974.41015625,974.5168965657552
msj9aand,torque,0.0,0,42,312115200,974.4098510742188,974.5531860351563
msj9aand,torque,0.0,0,42,317030400,974.4125366210938,974.4683349609375
msj9aand,torque,0.0,0,42,321699840,974.8500366210938,974.4745971679688
msj9aand,torque,0.0,0,42,326615040,974.4928588867188,974.515087890625
msj9aand,torque,0.0,0,42,331284480,975.3181762695312,974.6966918945312
msj9aand,torque,0.0,0,42,336199680,975.386474609375,974.8920166015625
msj9aand,torque,0.0,0,42,340869120,975.394775390625,974.9758097330729
msj9aand,torque,0.0,0,42,345784320,975.756591796875,975.269775390625
msj9aand,torque,0.0,0,42,350453760,975.3526611328124,975.2835896809896
msj9aand,torque,0.0,0,42,355368960,975.59619140625,975.4973388671875
msj9aand,torque,0.0,0,42,360038400,975.8343505859376,975.5535074869791
msj9aand,torque,0.0,0,42,364953600,975.6472778320312,975.6374145507813
msj9aand,torque,0.0,0,42,369623040,975.633056640625,975.6366882324219
msj9aand,torque,0.0,0,42,374538240,976.0240478515624,975.7469848632812
msj9aand,torque,0.0,0,42,379207680,976.2077026367188,975.8237711588541
msj9aand,torque,0.0,0,42,384122880,976.3453369140624,975.971484375
msj9aand,torque,0.0,0,42,389038080,976.19970703125,976.0819702148438
msj9aand,torque,0.0,0,42,393707520,975.845947265625,976.1245483398437
msj9aand,torque,0.0,0,42,398622720,975.3870849609376,975.9971557617188
msj9aand,torque,0.0,0,42,403292160,975.954833984375,975.94658203125
msj9aand,torque,0.0,0,42,408207360,976.656494140625,976.0088134765625
msj9aand,torque,0.0,0,42,412876800,976.8441772460938,976.1480407714844
msj9aand,torque,0.0,0,42,417792000,976.6754150390624,976.3036010742187
msj9aand,torque,0.0,0,42,422461440,976.8419189453124,976.393320719401
msj9aand,torque,0.0,0,42,427376640,977.3452758789062,976.87265625
msj9aand,torque,0.0,0,42,432046080,976.9348754882812,976.8830261230469
msj9aand,torque,0.0,0,42,436961280,977.5746459960938,977.0744262695313
msj9aand,torque,0.0,0,42,441630720,977.071533203125,977.0739440917969
msj9aand,torque,0.0,0,42,446545920,977.09033203125,977.2033325195313
msj9aand,torque,0.0,0,42,451215360,977.4166259765624,977.2388814290365
msj9aand,torque,0.0,0,42,456130560,977.4080810546876,977.3122436523438
msj9aand,torque,0.0,0,42,460800000,977.1912841796876,977.2920837402344
msj9aand,torque,0.0,0,42,465715200,977.4118041992188,977.3036254882812
msj9aand,torque,0.0,0,42,470630400,977.9057006835938,977.46669921875
msj9aand,torque,0.0,0,42,475299840,977.672607421875,977.5178955078125
msj9aand,torque,0.0,0,42,480215040,978.1143188476562,977.6591430664063
oms9ag28,torque,0.0,0,50,4915200,205.01063537597656,
oms9ag28,torque,0.0,0,50,9830400,407.14501953125,
oms9ag28,torque,0.0,0,50,14499840,718.8150634765625,
oms9ag28,torque,0.0,0,50,19415040,925.734375,
oms9ag28,torque,0.0,0,50,24084480,942.7530517578124,639.8916290283203
oms9ag28,torque,0.0,0,50,28999680,954.7220458984376,789.8339111328125
oms9ag28,torque,0.0,0,50,33669120,951.7626953125,816.8220418294271
oms9ag28,torque,0.0,0,50,38584320,956.4801635742188,946.2904663085938
oms9ag28,torque,0.0,0,50,43253760,956.8597412109376,948.052012125651
oms9ag28,torque,0.0,0,50,48168960,958.9876708984376,955.7624633789062
oms9ag28,torque,0.0,0,50,52838400,960.61083984375,956.5705261230469
oms9ag28,torque,0.0,0,50,57753600,961.5511474609376,958.8979125976563
oms9ag28,torque,0.0,0,50,62423040,963.3389892578124,959.6380920410156
oms9ag28,torque,0.0,0,50,67338240,964.148193359375,961.7273681640625
oms9ag28,torque,0.0,0,50,72007680,964.7188720703124,962.2259521484375
oms9ag28,torque,0.0,0,50,76922880,964.6201171875,963.6754638671875
oms9ag28,torque,0.0,0,50,81838080,964.0978393554688,964.1848022460938
oms9ag28,torque,0.0,0,50,86507520,964.7070922851562,964.4584228515625
oms9ag28,torque,0.0,0,50,91422720,966.4384765625,964.9164794921875
oms9ag28,torque,0.0,0,50,96092160,965.8427734375,965.141259765625
oms9ag28,torque,0.0,0,50,101007360,967.236328125,965.664501953125
oms9ag28,torque,0.0,0,50,105676800,967.1094360351562,965.9053243001302
oms9ag28,torque,0.0,0,50,110592000,967.8963012695312,966.9046630859375
oms9ag28,torque,0.0,0,50,115261440,967.0338134765624,966.9261881510416
oms9ag28,torque,0.0,0,50,120176640,967.2962036132812,967.3144165039063
oms9ag28,torque,0.0,0,50,124846080,967.7216796875,967.3822937011719
oms9ag28,torque,0.0,0,50,129761280,968.2501220703124,967.6396240234375
oms9ag28,torque,0.0,0,50,134430720,968.9085083007812,967.8511047363281
oms9ag28,torque,0.0,0,50,139345920,967.3777465820312,967.9108520507813
oms9ag28,torque,0.0,0,50,144015360,969.0195922851562,968.0956420898438
oms9ag28,torque,0.0,0,50,148930560,969.3082275390624,968.5728393554688
oms9ag28,torque,0.0,0,50,153600000,969.3021240234376,968.6943868001302
oms9ag28,torque,0.0,0,50,158515200,969.3575439453124,968.873046875
oms9ag28,torque,0.0,0,50,163430400,969.3020629882812,969.25791015625
oms9ag28,torque,0.0,0,50,168099840,969.5126953125,969.3565307617188
oms9ag28,torque,0.0,0,50,173015040,970.6998291015624,969.6348510742188
oms9ag28,torque,0.0,0,50,177684480,970.2442626953124,969.8232788085937
oms9ag28,torque,0.0,0,50,182599680,970.8267211914062,970.1171142578125
oms9ag28,torque,0.0,0,50,187269120,971.010986328125,970.2660929361979
oms9ag28,torque,0.0,0,50,192184320,970.5823974609376,970.6728393554688
