condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,servo_kp,servo_center,launch,eval_every_steps,servo_damping_ratio,delay,efference_length,seed,actual_step,ctrl_dt,reward_source,reward_last_point,kp_right_hip,settling_right_hip,dead_right_hip,kp_right_knee,settling_right_knee,dead_right_knee,kp_right_ankle,settling_right_ankle,dead_right_ankle,kp_left_hip,settling_left_hip,dead_left_hip,kp_left_knee,settling_left_knee,dead_left_knee,kp_left_ankle,settling_left_ankle,dead_left_ankle,reward_final,reward_final_n,reward_max,late_gain,max_drawdown_late,curve_points,curve_max_step,smooth_max,grid_points,solved_800,steps_to_800,solved_900,steps_to_900,solved_950,steps_to_950,steps_to_900_native
servo,WalkerWalk,996w94mt,WalkerWalk_DelayedMLP_delay0_eff0_kp32-job46856958,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,32.0,range,kp_sweep,4800000,1.0,0,0,50,480215040.0,0.025,dmc_eval,976.77587890625,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,975.9281338778409,11,976.9420166015624,-0.15875244140625,76.51336669921864,100,480215040,976.7291137695313,100,True,76922880.0,True,110592000.0,True,139345920.0,110592000.0
servo,WalkerWalk,g133o63i,WalkerWalk_DelayedMLP_delay0_eff0_kp48-job46856989,2026-09-17T14:03:01Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,48.0,range,kp_sweep,4800000,1.0,0,0,50,480215040.0,0.025,dmc_eval,979.6643676757812,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,978.6849975585938,11,979.6643676757812,1.312782981178998,4.04937744140625,100,480215040,979.15595703125,100,True,57753600.0,True,76922880.0,True,91422720.0,76922880.0
servo,WalkerWalk,qv83r9wh,WalkerWalk_DelayedMLP_delay0_eff0_kp64-job46856995,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,64.0,range,kp_sweep,4800000,1.0,0,0,50,480215040.0,0.025,dmc_eval,979.325927734375,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,978.9393698952415,11,979.6981201171876,1.890652743252872,15.55865478515625,100,480215040,979.2518310546875,100,True,48168960.0,True,57753600.0,True,67338240.0,57753600.0
torque,WalkerWalk,ln7wa5w0,WalkerWalk_DelayedMLP_delay5_eff5-20260909-065042,2026-09-09T10:50:43Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0.0,,delay_sweep_0909,600000,,5,5,42,480215040.0,0.025,dmc_eval,966.998779296875,,,,,,,,,,,,,,,,,,,966.9981696719215,84,967.947021484375,2.2539878665751303,3.7705688476561363,800,480215040,967.1930419921875,100,True,67338240.0,True,81838080.0,True,139345920.0,83558400.0
torque,WalkerWalk,ahzrqpzy,WalkerWalk_DelayedMLP_delay5_eff5-job46705778,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,0.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,964.0535888671876,,,,,,,,,,,,,,,,,,,965.1399480646306,11,966.0179443359376,4.429332386363626,3.133544921875,100,480215040,965.5682373046875,100,True,67338240.0,True,76922880.0,True,124846080.0,76922880.0
torque,WalkerWalk,p513kfj5,WalkerWalk_DelayedMLP_delay5_eff5-20260916-111639,2026-09-16T15:16:49Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,0.0,range,kp_sweep,4800000,1.0,5,5,51,480215040.0,0.025,dmc_eval,962.33154296875,,,,,,,,,,,,,,,,,,,961.849687056108,11,963.4481201171876,3.06439763849437,4.310485839843864,100,480215040,962.8768676757812,100,True,105676800.0,True,201768960.0,True,273776640.0,201768960.0
torque,WalkerWalk,8xjktznp,WalkerWalk_DelayedMLP_delay5_eff5-20260916-112243,2026-09-16T15:22:45Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,0.0,range,kp_sweep,4800000,1.0,5,5,52,480215040.0,0.025,dmc_eval,966.617431640625,,,,,,,,,,,,,,,,,,,965.0979614257812,11,966.617431640625,2.588528719815372,1.9346923828126137,100,480215040,965.7910522460937,100,True,67338240.0,True,76922880.0,True,139345920.0,76922880.0
servo,WalkerWalk,2zaydf5d,WalkerWalk_DelayedMLP_delay5_eff5_kp0.25-20260916-111639,2026-09-16T15:16:49Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,0.25,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,60.62278747558594,23.873241463784304,1.5652430681689549,0.0,9.54929658551372,1.1586421139050018,0.0,6.366197723675814,0.2812818467350452,0.0,23.873241463784304,1.5652430681689549,0.0,9.54929658551372,1.1586421139050018,0.0,6.366197723675814,0.2812818467350452,0.0,60.270572662353516,11,61.0873908996582,0.3543968200683594,1.6280593872070312,100,480215040,60.4199821472168,100,False,,False,,False,,
servo,WalkerWalk,o000rgp7,WalkerWalk_DelayedMLP_delay5_eff5_kp0.5-job46706140,2026-09-16T13:36:08Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A100-SXM4-40GB,0.5,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,115.1858367919922,47.74648292756861,1.1067939877075057,0.0,19.09859317102744,0.8192836957105432,0.0,12.732395447351628,0.1988963012510256,0.0,47.74648292756861,1.1067939877075057,0.0,19.09859317102744,0.8192836957105432,0.0,12.732395447351628,0.1988963012510256,0.0,136.16166270862925,11,147.15277099609375,18.015548359264017,62.9505500793457,100,480215040,144.73965148925782,100,False,,False,,False,,
servo,WalkerWalk,1hot441u,WalkerWalk_DelayedMLP_delay5_eff5_kp1-job46705780,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,1.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,332.08001708984375,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,329.36025446111506,11,332.0800170898437,8.854866721413373,107.620361328125,100,480215040,330.45612182617185,100,False,,False,,False,,
