wandb_id,budget_label,condition,arm,delay_k,step,reward_mean,lifespan_mean,fm_mse_eval,fm_mse_train_p25,fm_mse_train_p50,fm_mse_train_p75,action_sigma,encoder_kl,joint_l2_error,termination_rate
3dfjggpw,2G,expfm_2g,explicit,20,10076160.0,547.5576782226562,211.8818359375,0.0743064805865287,0.0655037239193916,0.0877390354871749,0.1415127515792846,0.6171139478683472,6.116657257080078,2.579322576522827,0.010716138407588
3dfjggpw,2G,expfm_2g,explicit,20,20070400.0,581.7734375,216.51953125,0.0742277577519416,0.0741210579872131,0.1097892969846725,0.1657286286354065,0.5619518160820007,6.501385688781738,2.315249443054199,0.0099710132926702
3dfjggpw,2G,expfm_2g,explicit,20,30064640.0,753.35205078125,261.3095703125,0.0600847005844116,0.0816960036754608,0.1109200119972229,0.1542314440011978,0.5436872839927673,6.5005645751953125,2.27610445022583,0.007744348142296
3dfjggpw,2G,expfm_2g,explicit,20,40058880.0,802.5579833984375,263.908203125,0.0554034151136875,0.0662824884057045,0.0919894874095916,0.1304137557744979,0.5128405690193176,7.2910380363464355,2.0702404975891118,0.0076984046027064
3dfjggpw,2G,expfm_2g,explicit,20,50053120.0,847.0101318359375,270.7421875,0.0529871620237827,0.0570168048143386,0.0799869447946548,0.1167131140828132,0.4914335012435913,7.710803031921387,2.067929744720459,0.0068638809025287
3dfjggpw,2G,expfm_2g,explicit,20,60047360.0,871.1691284179688,274.84375,0.0499129295349121,0.0520651564002037,0.0755841806530952,0.1113665774464607,0.4717120230197906,7.814027786254883,1.9404072761535645,0.0065213190391659
3dfjggpw,2G,expfm_2g,explicit,20,70041600.0,885.4107055664062,275.5576171875,0.0486104264855384,0.0531594306230545,0.0760737359523773,0.1117261350154876,0.4659186899662018,8.61316967010498,1.9165468215942385,0.005884654354304
3dfjggpw,2G,expfm_2g,explicit,20,80035840.0,915.538330078125,281.21875,0.0474084466695785,0.0525962822139263,0.074981041252613,0.1111473739147186,0.4750778973102569,9.299717903137209,1.812272548675537,0.0058028525672852
3dfjggpw,2G,expfm_2g,explicit,20,90030080.0,922.8978271484376,278.6982421875,0.0475339964032173,0.0505147948861122,0.0731363147497177,0.1089580208063125,0.4701056182384491,9.003929138183594,1.7704811096191406,0.0059733442030847
3dfjggpw,2G,expfm_2g,explicit,20,100024320.0,951.4730224609376,286.966796875,0.0470770150423049,0.0493010580539703,0.0708910673856735,0.1067623868584632,0.466944545507431,9.154681205749512,1.733537673950195,0.0054535851813852
3dfjggpw,2G,expfm_2g,explicit,20,110018560.0,956.4132690429688,285.1162109375,0.0466330237686634,0.0478096231818199,0.069386214017868,0.1045020818710327,0.4657618999481201,9.327117919921877,1.722700119018555,0.0053120232187211
3dfjggpw,2G,expfm_2g,explicit,20,120012800.0,1025.4063720703125,307.2119140625,0.0518892034888267,0.0477898567914962,0.0693457946181297,0.1072737723588943,0.4641376435756683,9.471963882446287,1.7456183433532717,0.0048208506777882
3dfjggpw,2G,expfm_2g,explicit,20,130007040.0,1062.28125,313.373046875,0.0501806214451789,0.048619482666254,0.0697225481271743,0.1078260615468025,0.4636002480983734,10.108113288879396,1.7457325458526611,0.0044158631935715
3dfjggpw,2G,expfm_2g,explicit,20,140001280.0,1159.9720458984375,337.896484375,0.0515105575323104,0.0490949153900146,0.070125788450241,0.1079442054033279,0.4670815169811249,10.167221069335938,1.7450588941574097,0.0036681843921542
3dfjggpw,2G,expfm_2g,explicit,20,150077440.0,1153.433349609375,332.6533203125,0.051324650645256,0.0484643690288066,0.0691929161548614,0.1075632348656654,0.4597766399383545,10.46869659423828,1.691648006439209,0.0037578109186142
3dfjggpw,2G,expfm_2g,explicit,20,160071680.0,1197.5797119140625,345.318359375,0.0530111119151115,0.0482782050967216,0.0686313807964325,0.1062709167599678,0.4680469036102295,10.349523544311523,1.7427347898483276,0.0034389400389045
3dfjggpw,2G,expfm_2g,explicit,20,170065920.0,1220.212158203125,346.5087890625,0.0509949512779712,0.0480894297361373,0.0695243701338768,0.1089576631784439,0.471499890089035,10.368488311767578,1.70823872089386,0.0033389281015843
3dfjggpw,2G,expfm_2g,explicit,20,180060160.0,1288.067138671875,359.2470703125,0.0518514737486839,0.0498333722352981,0.0712652578949928,0.1104825511574745,0.4638625085353851,10.294549942016602,1.631657958030701,0.0030253701843321
3dfjggpw,2G,expfm_2g,explicit,20,190054400.0,1277.0587158203125,355.2373046875,0.0565748140215873,0.0485025495290756,0.0696626901626586,0.1090544834733009,0.4669648110866546,10.829779624938965,1.6184704303741455,0.003095727879554
3dfjggpw,2G,expfm_2g,explicit,20,200048640.0,1256.4248046875,348.7021484375,0.0527134425938129,0.0485587902367115,0.0687755644321441,0.106756255030632,0.4680923819541931,11.352307319641112,1.6100008487701416,0.0031893807463347
3dfjggpw,2G,expfm_2g,explicit,20,210042880.0,1326.4833984375,356.2001953125,0.0518929287791252,0.0494317896664142,0.0705414116382598,0.1105807647109031,0.4550618529319763,11.088111877441406,1.5570728778839111,0.0031664688140153
3dfjggpw,2G,expfm_2g,explicit,20,220037120.0,1377.0013427734375,366.6796875,0.0482862368226051,0.0461716167628765,0.0652835443615913,0.099770963191986,0.4510974884033203,11.325886726379396,1.5131611824035645,0.0026009348221123
3dfjggpw,2G,expfm_2g,explicit,20,230031360.0,1363.4791259765625,361.71484375,0.0461995266377925,0.046418871730566,0.0657816901803016,0.1027155146002769,0.4485408961772918,11.785167694091797,1.5008559226989746,0.0029350109398365
3dfjggpw,2G,expfm_2g,explicit,20,240025600.0,1401.8909912109375,374.271484375,0.0464937686920166,0.0475888922810554,0.0676826313138008,0.1048480719327926,0.4558954834938049,11.683839797973633,1.5232725143432615,0.0022525934036821
3dfjggpw,2G,expfm_2g,explicit,20,250019840.0,1427.557861328125,375.84765625,0.0462195351719856,0.0481609404087066,0.0686389431357383,0.1067332923412323,0.4586166143417358,11.270574569702148,1.5229732990264893,0.002425382612273
3dfjggpw,2G,expfm_2g,explicit,20,260014080.0,1438.8951416015625,378.9443359375,0.0442225411534309,0.045738112181425,0.0654216855764389,0.1027547419071197,0.4549806416034698,11.499223709106444,1.5329701900482178,0.0022356561385095
3dfjggpw,2G,expfm_2g,explicit,20,270008320.0,1448.5631103515625,379.99609375,0.0454677417874336,0.046492300927639,0.0663875937461853,0.1038346290588378,0.4471849799156189,12.231315612792969,1.5264253616333008,0.0021477062255144
3dfjggpw,2G,expfm_2g,explicit,20,280002560.0,1438.7337646484375,375.625,0.0437796786427497,0.0449358783662319,0.063867837190628,0.0995267927646637,0.4479086101055145,11.744565963745115,1.4962923526763916,0.0022669821046292
3dfjggpw,2G,expfm_2g,explicit,20,290078720.0,1475.99609375,382.5458984375,0.0438087694346904,0.0440392792224884,0.0621622055768966,0.0965939164161682,0.4481924474239349,12.065081596374512,1.4987678527832031,0.0021381736733019
3dfjggpw,2G,expfm_2g,explicit,20,300072960.0,1440.255615234375,374.931640625,0.0447837263345718,0.0467221736907959,0.0657667368650436,0.1020567342638969,0.4459511637687683,12.076852798461914,1.4956953525543213,0.00233462639153
3dfjggpw,2G,expfm_2g,explicit,20,310067200.0,1524.8148193359375,393.455078125,0.0416177660226821,0.0456264168024063,0.0650244429707527,0.1013979539275169,0.4470762014389038,11.541892051696776,1.5129637718200684,0.001756397774443
3dfjggpw,2G,expfm_2g,explicit,20,320061440.0,1486.1884765625,384.822265625,0.042370643466711,0.0444466099143028,0.0630340576171875,0.097647488117218,0.4486157298088074,12.468297958374023,1.524512529373169,0.0019793182145804
3dfjggpw,2G,expfm_2g,explicit,20,330055680.0,1498.62939453125,382.865234375,0.0426583215594291,0.0437085516750812,0.0619159378111362,0.0964915975928306,0.4482814371585846,12.157349586486816,1.4847166538238523,0.002159846946597
3dfjggpw,2G,expfm_2g,explicit,20,340049920.0,1485.645751953125,382.3291015625,0.0460162684321403,0.0448385328054428,0.0638346076011657,0.0987658947706222,0.4435020685195923,12.810148239135742,1.5097298622131348,0.0022454503923654
3dfjggpw,2G,expfm_2g,explicit,20,350044160.0,1556.186767578125,399.7880859375,0.0386273451149463,0.0422208905220031,0.0597398877143859,0.0923373401165008,0.4412203729152679,12.05615520477295,1.491404414176941,0.0015722173266112
3dfjggpw,2G,expfm_2g,explicit,20,360038400.0,1517.5191650390625,389.2509765625,0.0419736355543136,0.042011309415102,0.0594579651951789,0.0922810286283493,0.4338691234588623,12.725767135620115,1.483468770980835,0.0018313316395506
3dfjggpw,2G,expfm_2g,explicit,20,370032640.0,1544.405517578125,393.466796875,0.0410589538514614,0.0419085845351219,0.0602338910102844,0.0944528058171272,0.4365355372428894,12.502394676208496,1.4744690656661987,0.0018296533962711
3dfjggpw,2G,expfm_2g,explicit,20,380026880.0,1537.186767578125,392.2421875,0.0425928384065628,0.0419570244848728,0.060190126299858,0.0934777706861496,0.4459119141101837,12.582011222839355,1.491296648979187,0.0017580486601218
3dfjggpw,2G,expfm_2g,explicit,20,390021120.0,1527.7900390625,389.4990234375,0.0403023026883602,0.0418346002697944,0.0598265454173088,0.0942422449588775,0.4393915832042694,13.716110229492188,1.4790046215057373,0.0019514022860676
3dfjggpw,2G,expfm_2g,explicit,20,400015360.0,1572.238037109375,402.1865234375,0.0425333529710769,0.0436806567013263,0.0620251521468162,0.0965644866228103,0.4358444213867187,12.863266944885254,1.4762141704559326,0.0014758324250578
3dfjggpw,2G,expfm_2g,explicit,20,410009600.0,1548.927001953125,395.5244140625,0.0406820103526115,0.0430286675691604,0.0604542940855026,0.0924996510148048,0.4401567876338959,13.224388122558594,1.511109709739685,0.0015897323610261
3dfjggpw,2G,expfm_2g,explicit,20,420003840.0,1552.218994140625,394.3583984375,0.0400390364229679,0.0412837825715541,0.0595193356275558,0.0937455222010612,0.4387518167495727,12.883872985839844,1.5152182579040527,0.0016768451314419
3dfjggpw,2G,expfm_2g,explicit,20,430080000.0,1566.6055908203125,395.2587890625,0.0399162173271179,0.0426701679825782,0.0616205297410488,0.0969690531492233,0.4441424310207367,13.18150520324707,1.4753997325897217,0.0017406977713108
3dfjggpw,2G,expfm_2g,explicit,20,440074240.0,1564.2562255859375,392.7197265625,0.0390392839908599,0.0407051481306552,0.0579499751329422,0.0904690474271774,0.4295361340045929,13.481537818908691,1.459551453590393,0.0017684334889054
3dfjggpw,2G,expfm_2g,explicit,20,450068480.0,1569.861328125,396.2275390625,0.0391807854175567,0.0400759354233741,0.0572583228349685,0.0892568752169609,0.4304747283458709,13.02979850769043,1.4501272439956665,0.0016585104167461
3dfjggpw,2G,expfm_2g,explicit,20,460062720.0,1566.90673828125,395.11328125,0.0426362305879592,0.0377771109342575,0.0543452203273773,0.0859577655792236,0.4284144937992096,13.614410400390623,1.4530854225158691,0.0016399137675762
3dfjggpw,2G,expfm_2g,explicit,20,470056960.0,1580.864990234375,398.771484375,0.0409348309040069,0.042233683168888,0.0602584518492221,0.0929562300443649,0.4462892711162567,13.37270736694336,1.4732446670532229,0.001564102480188
3dfjggpw,2G,expfm_2g,explicit,20,480051200.0,1587.8623046875,401.310546875,0.0425234586000442,0.0395799539983272,0.0570360198616981,0.0890696048736572,0.4414229094982147,13.301040649414062,1.488642692565918,0.0014796396717429
3dfjggpw,2G,expfm_2g,explicit,20,490045440.0,1586.037109375,397.96875,0.0388955175876617,0.0388265773653984,0.0563847869634628,0.0898533463478088,0.430250883102417,13.571760177612305,1.478778839111328,0.001541667850688
3dfjggpw,2G,expfm_2g,explicit,20,500039680.0,1590.5899658203125,400.580078125,0.0375794023275375,0.0423465259373188,0.0598007477819919,0.0915793180465698,0.4386933147907257,13.080156326293944,1.4668011665344238,0.0013913075672462
3dfjggpw,2G,expfm_2g,explicit,20,510033920.0,1605.754638671875,403.443359375,0.0369810983538627,0.0405020304024219,0.0583284571766853,0.0922446995973587,0.4415919780731201,13.539591789245604,1.451873779296875,0.0013515676837414
3dfjggpw,2G,expfm_2g,explicit,20,520028160.0,1610.1826171875,403.7548828125,0.0369844064116478,0.0405596829950809,0.0582827888429164,0.0918386131525039,0.4398265779018402,13.640717506408691,1.4654037952423096,0.0013687396422028
3dfjggpw,2G,expfm_2g,explicit,20,530022400.0,1581.2197265625,397.7119140625,0.0399148240685462,0.0409940928220748,0.0593393817543983,0.0943387374281883,0.4422797560691833,13.565921783447266,1.5004702806472778,0.0015309187583625
3dfjggpw,2G,expfm_2g,explicit,20,540016640.0,1600.3067626953125,401.2431640625,0.0380950942635536,0.0386011637747287,0.0555872321128845,0.0872160047292709,0.434717446565628,13.691051483154297,1.4828741550445557,0.0014942346606403
3dfjggpw,2G,expfm_2g,explicit,20,550010880.0,1614.9456787109375,399.80859375,0.0367756113409996,0.0376490578055381,0.0544914752244949,0.0866528749465942,0.4264171123504638,14.052031517028809,1.4401638507843018,0.0015612163115292
3dfjggpw,2G,expfm_2g,explicit,20,560005120.0,1615.171630859375,400.1669921875,0.037792295217514,0.0388388857245445,0.0562376007437706,0.0884504839777946,0.4301738739013672,14.016192436218262,1.4547836780548096,0.00152359821368
3dfjggpw,2G,expfm_2g,explicit,20,570081280.0,1612.652099609375,400.3310546875,0.0365730449557304,0.0362596213817596,0.0522362291812896,0.0820584148168563,0.4273466467857361,13.923677444458008,1.4320619106292725,0.0014847151469439
3dfjggpw,2G,expfm_2g,explicit,20,580075520.0,1611.689697265625,404.9365234375,0.0406297668814659,0.0393057130277156,0.0569266229867935,0.0908671915531158,0.4421257674694061,13.818613052368164,1.4900941848754885,0.0013052111025899
3dfjggpw,2G,expfm_2g,explicit,20,590069760.0,1634.8126220703125,407.279296875,0.0365005284547805,0.0393400713801384,0.0570316947996616,0.0901312008500099,0.4354019165039062,14.004703521728516,1.4729764461517334,0.0012923099566251
3dfjggpw,2G,expfm_2g,explicit,20,600064000.0,1624.506103515625,403.296875,0.0383499190211296,0.0393449775874614,0.0565734729170799,0.088422916829586,0.4303884506225586,13.936251640319824,1.4627702236175537,0.0013792947866022
3dfjggpw,2G,expfm_2g,explicit,20,610058240.0,1664.186767578125,412.421875,0.0345783121883869,0.0388876944780349,0.0551606863737106,0.0860498622059822,0.4264223277568817,14.150869369506836,1.4662113189697266,0.0011500214459374
3dfjggpw,2G,expfm_2g,explicit,20,620052480.0,1594.0400390625,395.3115234375,0.0370329767465591,0.0376857370138168,0.0542478337883949,0.0855879858136177,0.4291809499263763,14.169842720031738,1.405304789543152,0.0016529082786291
3dfjggpw,2G,expfm_2g,explicit,20,630046720.0,1625.57373046875,403.51171875,0.0376928709447383,0.0365177728235721,0.0531865134835243,0.0846359282732009,0.4271266460418701,14.246962547302246,1.454882025718689,0.0013656864175572
3dfjggpw,2G,expfm_2g,explicit,20,640040960.0,1673.419921875,411.8427734375,0.0341138020157814,0.0368034392595291,0.053345289081335,0.0850120484828949,0.4258027374744415,14.374256134033203,1.4221595525741575,0.0011355608003214
3dfjggpw,2G,expfm_2g,explicit,20,650035200.0,1661.0115966796875,411.0419921875,0.0358708165585994,0.0400697700679302,0.0565723925828933,0.0865905955433845,0.4288780987262726,14.269021034240724,1.4652841091156006,0.0010782954050228
3dfjggpw,2G,expfm_2g,explicit,20,660029440.0,1644.602783203125,406.6376953125,0.0349783450365066,0.0370125398039817,0.0540686249732971,0.0861401334404945,0.4331726431846618,14.405914306640623,1.420132398605347,0.001241629011929
3dfjggpw,2G,expfm_2g,explicit,20,670023680.0,1648.94287109375,410.7119140625,0.0368050523102283,0.0364670604467392,0.0528537780046463,0.08330749720335,0.4232564270496368,14.167104721069336,1.4637351036071775,0.0010956067126244
3dfjggpw,2G,expfm_2g,explicit,20,680017920.0,1662.9365234375,409.4599609375,0.0339228250086307,0.0362350642681121,0.0527487434446811,0.0839332789182663,0.4223656058311462,14.163589477539062,1.4389166831970217,0.0011666984064504
3dfjggpw,2G,expfm_2g,explicit,20,690012160.0,1635.230712890625,401.583984375,0.037502285093069,0.0370573624968528,0.054010797291994,0.0861352682113647,0.4225030243396759,14.347026824951172,1.428439378738403,0.0014786391984671
3dfjggpw,2G,expfm_2g,explicit,20,700006400.0,1648.44970703125,407.9208984375,0.0359060168266296,0.0379209667444229,0.0554591342806816,0.0892038494348526,0.4364252686500549,14.317265510559082,1.4270732402801514,0.0011796852340921
3dfjggpw,2G,expfm_2g,explicit,20,710000640.0,1642.0819091796875,403.705078125,0.03566550090909,0.0374630354344844,0.0534337386488914,0.0841366201639175,0.4306262135505676,14.152483940124512,1.421041488647461,0.0013020932674407
3dfjggpw,2G,expfm_2g,explicit,20,720076800.0,1660.06787109375,408.427734375,0.0356218069791793,0.0377418510615825,0.0540403425693511,0.0858095288276672,0.4318075776100158,14.650136947631836,1.439312219619751,0.0011737188324332
3dfjggpw,2G,expfm_2g,explicit,20,730071040.0,1646.9351806640625,405.60546875,0.0344310514628887,0.0367240346968174,0.0536863058805465,0.0852787420153617,0.4280718266963959,14.282793045043944,1.441307783126831,0.0012563426280394
3dfjggpw,2G,expfm_2g,explicit,20,740065280.0,1662.217041015625,408.681640625,0.0363532230257988,0.0367404073476791,0.0536732524633407,0.0857678949832916,0.4302586913108825,14.478694915771484,1.4322748184204102,0.0012670955620706
3dfjggpw,2G,expfm_2g,explicit,20,750059520.0,1648.22021484375,408.2568359375,0.0362507663667202,0.0384880229830741,0.0559101626276969,0.0892810374498367,0.4309043884277344,14.476274490356444,1.4682016372680664,0.0012366513255983
3dfjggpw,2G,expfm_2g,explicit,20,760053760.0,1666.234375,411.8466796875,0.0380097925662994,0.0371088050305843,0.0538955479860305,0.0854424238204956,0.4300349056720733,14.489620208740234,1.441921949386597,0.0010486706160008
3dfjggpw,2G,expfm_2g,explicit,20,770048000.0,1639.31982421875,402.7060546875,0.0359158664941787,0.0363292843103408,0.0528882890939712,0.0845370516180992,0.42315474152565,14.483247756958008,1.4230074882507324,0.0014125941088423
3dfjggpw,2G,expfm_2g,explicit,20,780042240.0,1692.4371337890625,415.91796875,0.0327804237604141,0.0362700670957565,0.0526116266846656,0.0827737003564834,0.4223701655864715,14.448692321777344,1.4191590547561646,0.0009735199273563
3dfjggpw,2G,expfm_2g,explicit,20,790036480.0,1697.1624755859375,414.650390625,0.0324062593281269,0.0351598635315895,0.0516924187541008,0.0828313156962394,0.4184383153915405,14.56857681274414,1.419277310371399,0.0009684071410447
3dfjggpw,2G,expfm_2g,explicit,20,800030720.0,1697.15869140625,414.517578125,0.0336318686604499,0.0368552580475807,0.0537641942501068,0.0848221033811569,0.4190082550048828,14.35878562927246,1.4098697900772097,0.0010085157118737
3dfjggpw,2G,expfm_2g,explicit,20,810024960.0,1681.190185546875,411.54296875,0.0346644669771194,0.037497017532587,0.0553651601076126,0.0893116444349289,0.4177975356578827,14.786828994750977,1.430405616760254,0.0010550678707659
3dfjggpw,2G,expfm_2g,explicit,20,820019200.0,1687.258544921875,417.080078125,0.0348262898623943,0.0358070582151412,0.0528254099190235,0.0847607851028442,0.4284822642803192,14.58786392211914,1.4847474098205566,0.0009307803120464
3dfjggpw,2G,expfm_2g,explicit,20,830013440.0,1688.1181640625,414.263671875,0.033229786902666,0.0543102994561195,0.072811834514141,0.1053243428468704,0.43336221575737,14.417888641357422,1.4619132280349731,0.0009673272143118
3dfjggpw,2G,expfm_2g,explicit,20,840007680.0,1708.789794921875,417.0009765625,0.032248880714178,0.0352942198514938,0.0517864190042018,0.0829835310578346,0.431563138961792,14.645843505859377,1.4345084428787231,0.0009696079650893
3dfjggpw,2G,expfm_2g,explicit,20,850001920.0,1681.483154296875,412.3037109375,0.0340571552515029,0.0371559783816337,0.0530238151550293,0.0835529416799545,0.4301332235336303,15.05780792236328,1.4338726997375488,0.0010223574936389
3dfjggpw,2G,expfm_2g,explicit,20,860078080.0,1691.349609375,413.7470703125,0.03351366892457,0.0355734452605247,0.052339494228363,0.0842567980289459,0.4279774129390716,14.95976734161377,1.429112434387207,0.0010254118824377
3dfjggpw,2G,expfm_2g,explicit,20,870072320.0,1685.581787109375,413.6669921875,0.0341556146740913,0.0359278880059719,0.051740325987339,0.0812258645892143,0.4279636144638061,14.939811706542969,1.42810320854187,0.0010523279197514
3dfjggpw,2G,expfm_2g,explicit,20,880066560.0,1710.669677734375,421.400390625,0.0315483435988426,0.035967506468296,0.0532878637313842,0.0859322249889373,0.4240394830703735,14.993067741394045,1.4304323196411133,0.0008212632965296
3dfjggpw,2G,expfm_2g,explicit,20,890060800.0,1716.344482421875,419.32421875,0.0317253321409225,0.0350427329540252,0.0510751903057098,0.081970028579235,0.4265584945678711,14.591989517211914,1.4191124439239502,0.0008832648745737
3dfjggpw,2G,expfm_2g,explicit,20,900055040.0,1662.277099609375,406.09765625,0.037395641207695,0.0360791347920894,0.0533144921064376,0.0863013342022895,0.4245531260967254,14.97613525390625,1.4127638339996338,0.0012231415603309
3dfjggpw,2G,expfm_2g,explicit,20,910049280.0,1670.4666748046875,405.8408203125,0.0362631268799304,0.0380522832274436,0.0549551919102668,0.0877277627587318,0.423578679561615,14.617313385009766,1.4168691635131836,0.001370437676087
3dfjggpw,2G,expfm_2g,explicit,20,920043520.0,1696.957763671875,410.9365234375,0.0336989611387252,0.0356444418430328,0.0525484457612037,0.0844000279903411,0.4264581501483917,14.673760414123535,1.41420578956604,0.0010886422824114
3dfjggpw,2G,expfm_2g,explicit,20,930037760.0,1686.4619140625,410.1005859375,0.0369182974100112,0.0353436805307865,0.0513650439679622,0.0810034126043319,0.4282233715057373,14.827896118164062,1.4314711093902588,0.0011861084494739
3dfjggpw,2G,expfm_2g,explicit,20,940032000.0,1673.57373046875,412.5478515625,0.0364971086382865,0.035673800855875,0.0517314299941062,0.0821656435728073,0.4231236577033996,14.972309112548828,1.4517766237258911,0.0010468653636053
3dfjggpw,2G,expfm_2g,explicit,20,950026240.0,1697.09716796875,417.0654296875,0.0440337397158145,0.0362666100263595,0.0531478449702262,0.0852195248007774,0.4281647801399231,15.072405815124512,1.438004970550537,0.0009313882328569
3dfjggpw,2G,expfm_2g,explicit,20,960020480.0,1700.5693359375,416.353515625,0.0311852898448705,0.0340433269739151,0.0498999282717704,0.0801621973514556,0.4214308559894562,14.952333450317385,1.413527250289917,0.0009417895926162
3dfjggpw,2G,expfm_2g,explicit,20,970014720.0,1711.888916015625,416.771484375,0.0341643430292606,0.0338970646262168,0.0496932193636894,0.0794059783220291,0.418163388967514,15.281593322753906,1.412491798400879,0.0008824518881738
3dfjggpw,2G,expfm_2g,explicit,20,980008960.0,1704.998779296875,414.7900390625,0.0362440980970859,0.0344421565532684,0.0503468997776508,0.0803345218300819,0.4193864166736603,14.862525939941406,1.4150595664978027,0.0010122354142367
3dfjggpw,2G,expfm_2g,explicit,20,990003200.0,1737.0386962890625,421.6650390625,0.0314809903502464,0.0355076007544994,0.051392275840044,0.0823876112699508,0.4227771759033203,14.924077987670898,1.405625820159912,0.0007765244808979
3dfjggpw,2G,expfm_2g,explicit,20,1000079360.0,1688.168701171875,409.7158203125,0.0331750512123107,0.0340519770979881,0.0499768555164337,0.080589011311531,0.4182374477386474,15.030925750732422,1.396202564239502,0.0011588439811021
3dfjggpw,2G,expfm_2g,explicit,20,1010073600.0,1705.985595703125,413.01171875,0.0421712510287761,0.0348033122718334,0.0503703132271766,0.0794843286275863,0.4229618012905121,14.932418823242188,1.4125018119812012,0.0010049914708361
