quantity,arm,delay_k,value_at_2G,decay_per_doubling,budget_below_noise
reward gain per doubling,explicit,0,0.8636560412881078,0.3551234960320665,795288160.7240747
reward gain per doubling,explicit,10,3.0739306807789024,0.38740053614851083,1931423069.3120947
reward gain per doubling,explicit,20,3.346931336419945,0.43861486984608405,2314002096.981132
reward gain per doubling,explicit,50,8.069287339900843,0.6753085717877463,12283947915.797752
reward gain per doubling,implicit,0,0.6759034229952166,0.3570565456814055,654959094.5209777
reward gain per doubling,implicit,10,2.796784765733218,0.38642929465931797,2368230032.9030824
reward gain per doubling,implicit,20,9.180658032111078,0.6953299784585479,33117290521.32673
reward gain per doubling,implicit,50,-1.5034935718994613,,
explicit advantage,contrast,0,-0.6961712097755757,,
explicit advantage,contrast,10,-0.23783559911727536,,
explicit advantage,contrast,20,4.313965580654577,0.43404010263710624,2801657206.281229
explicit advantage,contrast,50,91.27100346200628,1.3041705646788544,inf
