step,delay_k,explicit,implicit,advantage_pct
125000000,0,1543.6858642578125,1673.3719482421875,-7.7499855379197236
125000000,10,983.6468872070312,796.5036865234375,23.495584998536835
125000000,20,954.3457641601562,689.6890014648437,38.37334829658048
125000000,50,871.5603881835938,582.8852600097656,49.52520641352154
250000000,0,1892.1462890625,1926.451611328125,-1.7807518270326228
250000000,10,1496.76748046875,1082.13955078125,38.315569317114374
250000000,20,1345.0559326171874,846.8017578125,58.83953005622027
250000000,50,1102.716162109375,734.4833129882812,50.13495100697667
500000000,0,1959.984033203125,1992.150537109375,-1.614662311259063
500000000,10,1751.53359375,1714.959765625,2.1326347625229003
500000000,20,1578.306494140625,1284.2302978515625,22.89902339019987
500000000,50,1294.949169921875,842.7276123046875,53.661651880665694
1000000000,0,2000.0083984375,2017.785498046875,-0.8810202881615714
1000000000,10,1862.4680419921874,1871.94150390625,-0.5060768135272453
1000000000,20,1710.3185791015626,1551.9811279296875,10.202279417088933
1000000000,50,1453.0578857421874,833.5184936523438,74.3282118882716
2000000000,0,2017.281591796875,2031.423779296875,-0.6961712097755757
2000000000,10,1919.7190185546874,1924.2956787109374,-0.23783559911727536
2000000000,20,1767.561767578125,1694.4632080078125,4.313965580654577
2000000000,50,1570.3093017578126,820.9865966796875,91.27100346200628
