wandb_id,wandb_name,wandb_project,state,git_commit,created_at,condition,network,arm,delay_k,fm_loss_weight,detach_prediction,budget,actual_step,gpu,runtime_s,reward_at_125M,fm_mse_at_125M,reward_at_250M,fm_mse_at_250M,reward_at_500M,fm_mse_at_500M,reward_at_600M,fm_mse_at_600M,reward_at_1000M,fm_mse_at_1000M,reward_at_2000M,fm_mse_at_2000M,reward_peak,peak_step,reward_steps_to_90pct,fm_mse_steps_to_90pct,reward_steps_to_95pct,fm_mse_steps_to_95pct,action_sigma_at_600M,action_sigma_final,encoder_kl_at_600M,encoder_kl_final,joint_l2_error_at_600M,joint_l2_error_final,fm_mse_eval_at_600M,fm_mse_eval_final,fm_mse_train_p50_at_600M,fm_mse_train_p50_final,termination_rate_at_600M,termination_rate_final,inline_train_reward,inline_train_survived,inline_old_eval_reward,inline_old_eval_survived,inline_new_eval_reward,inline_new_eval_survived,generalization_ratio
dgv264dt,RodentForwardModel_delay0_eff0-20260813-073550,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:35:59Z,expfm_2g,forward_model,explicit,0,1.0,True,2000000000,2000076800.0,NVIDIA A100-SXM4-80GB,83086.073282242,1543.6858642578125,0.00069232820533212,1892.1462890625,0.00023164267186070003,1959.984033203125,0.0018096439831424,1966.1916748046874,0.00016889030375748522,2000.0083984375,0.0004957919096340801,2017.281591796875,0.0005430096702184,2019.623095703125,2000076800,690012160.0,210042880.0,990003200.0,210042880.0,0.30934411883354185,0.2653117120265961,17.856476974487304,20.488541030883788,1.198099422454834,1.111149215698242,0.00016889030375748522,0.0005430096702184,0.00046805902384216,0.0007792546530253601,6.325282593021903e-05,1.4751604248885997e-05,2189.395667247574,1.0,2168.574873884754,1.0,10894.448322296144,0.71875,0.9904901641698256
itedqjyt,RodentForwardModel_delay10_eff10-20260813-074327,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:43:29Z,expfm_2g,forward_model,explicit,10,1.0,True,2000000000,2000076800.0,NVIDIA A100-SXM4-80GB,76091.044200417,983.6468872070312,0.03827959820628158,1496.76748046875,0.033593794703483545,1751.53359375,0.0226231195032596,1774.31025390625,0.02344564460217946,1862.4680419921874,0.01890969648957248,1919.7190185546874,0.016340576112270296,1922.5399169921875,1980006400,780042240.0,1130004480.0,1120010240.0,1600061440.0,0.40453084707260123,0.38760331869125364,14.543402862548827,16.037256813049318,1.374140238761902,1.261408543586731,0.02344564460217946,0.016340576112270296,0.04344473630189892,0.031030423194169966,0.00072783579817038,0.00015766080032330958,2081.198514329023,0.9806835066864784,1989.847286562948,0.9526627218934912,6603.663248538971,0.28125,0.9561064323575463
3dfjggpw,RodentForwardModel_delay20_eff20-20260813-074628,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:46:32Z,expfm_2g,forward_model,explicit,20,1.0,True,2000000000,2000076800.0,NVIDIA H200,45731.698059887,954.3457641601562,0.04810833707451816,1345.0559326171874,0.049117180705070464,1578.306494140625,0.040834164619445744,1617.854345703125,0.03765424937009808,1710.3185791015626,0.03542169220745558,1767.561767578125,0.02824506722390646,1783.3364990234375,1840005120,820019200.0,1660026880.0,1270005760.0,1680015360.0,0.4322930634021759,0.41075411438941956,13.963043594360352,15.665029525756836,1.4580160140991212,1.369350552558899,0.03765424937009808,0.02824506722390646,0.05538472458720204,0.04421285167336456,0.00143341014627362,0.0007915617898106,1903.6325362320283,0.8870728083209509,1748.4746700038572,0.7751479289940828,5243.396511554718,0.0625,0.9184937936944049
7wpzx8cl,RodentForwardModel_delay50_eff50-20260813-074948,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:49:49Z,expfm_2g,forward_model,explicit,50,1.0,True,2000000000,2000076800.0,NVIDIA A100-SXM4-80GB,79819.923374707,871.5603881835938,0.07410305887460705,1102.716162109375,0.07894341051578517,1294.949169921875,0.07865705341100687,1359.617529296875,0.07392409145832056,1453.0578857421874,0.06472565233707427,1570.3093017578126,0.05445798560976978,1574.1480224609375,2000076800,1190051840.0,1570078720.0,1440071680.0,1580072960.0,0.4692825198173523,0.45201641917228697,12.724151039123534,14.038359069824219,1.7069691181182862,1.5730727195739747,0.07392409145832056,0.05445798560976978,0.09230310469865796,0.07389765828847882,0.00220178915187712,0.00138313041534268,1612.3677439583355,0.7607726597325408,1462.7401499550724,0.6686390532544378,4373.007784128189,0.125,0.9072000822616745
nsfdsuk2,RodentForwardModel_delay0_eff0_nodetach-20260813-064425,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,pgfm_2g,pg_forward_model,implicit,0,0.0,False,2000000000,2000076800.0,NVIDIA H200,56264.97477971,1673.3719482421875,0.4493302643299103,1926.451611328125,0.4118484020233154,1992.150537109375,0.4476905047893524,1998.3294677734375,0.459702467918396,2017.785498046875,0.48683359026908873,2031.423779296875,0.5168895483016968,2033.2972900390625,1900052480,570081280.0,1820016640.0,920043520.0,1840005120.0,0.28170263171195986,0.24936790466308595,18.787738418579103,20.57646255493164,1.1461688995361328,1.092317318916321,0.459702467918396,0.5168895483016968,0.8568559646606445,0.9530070900917054,3.25844950566534e-05,5.738118488807231e-06,2199.25444228015,0.9910846953937592,2177.991175183178,0.9881656804733728,11056.870512008669,0.71875,0.990331602070142
1dbmh27r,RodentForwardModel_delay10_eff10_nodetach-20260813-064420,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T10:44:30Z,pgfm_2g,pg_forward_model,implicit,10,0.0,False,2000000000,2000076800.0,NVIDIA H200,45172.388575111,796.5036865234375,0.5217483878135681,1082.13955078125,0.4634507715702057,1714.959765625,0.42798895835876466,1784.0977294921875,0.43225241303443906,1871.94150390625,0.44377841949462893,1924.2956787109374,0.46807737946510314,1930.460986328125,1970012160,740065280.0,200048640.0,980008960.0,210042880.0,0.4018058836460113,0.36123518347740174,11.833201026916504,13.642967224121094,1.3482930660247803,1.2833457708358764,0.43225241303443906,0.46807737946510314,0.9356996774673462,0.9351620674133301,0.0005763129447586199,0.00013046392705286756,2069.185584806581,0.962852897473997,1998.1152402437651,0.9112426035502958,5872.122015953064,0.03125,0.9656529868153613
x1wjdvt9,RodentForwardModel_delay20_eff20_nodetach-20260813-070304,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:03:09Z,pgfm_2g,pg_forward_model,implicit,20,0.0,False,2000000000,2000076800.0,NVIDIA A100-SXM4-80GB,77511.640423545,689.6890014648437,0.5707661986351014,846.8017578125,0.525568163394928,1284.2302978515625,0.49932593703269956,1407.6421142578124,0.4688821196556091,1551.9811279296875,0.4623966157436371,1694.4632080078125,0.4662316024303436,1703.6587646484375,2000076800,1140080640.0,550010880.0,1400012800.0,590069760.0,0.43269044160842896,0.40167624354362486,10.370578575134278,12.642201995849609,1.544005823135376,1.4296261072158813,0.4688821196556091,0.4662316024303436,1.0406530141830443,0.9874554634094238,0.00229285862296816,0.00099656918318936,1738.1365648584238,0.7652303120356612,1540.0268769574589,0.6568047337278107,5382.35341835022,0.1875,0.8860217937379958
6jz9o5p4,RodentForwardModel_delay50_eff50_nodetach-20260813-070412,emiwar-team/nnx-ppo-rodent-delays,finished,25732c42,2026-08-13T11:04:14Z,pgfm_2g,pg_forward_model,implicit,50,0.0,False,2000000000,2000076800.0,NVIDIA A100-SXM4-80GB,78634.958902534,582.8852600097656,0.5166321754455566,734.4833129882812,0.5603296399116516,842.7276123046875,0.6241934418678283,856.249365234375,0.7111101508140564,833.5184936523438,0.8484217882156372,820.9865966796875,0.9982007265090942,875.8152587890625,660029440,360038400.0,1370030080.0,360038400.0,1500037120.0,0.47725831866264345,0.5288397073745728,8.289942359924316,7.36776180267334,2.3385998249053954,2.4976224422454836,0.7111101508140564,0.9982007265090942,1.4220847129821776,1.7765108346939087,0.0044099019840359395,0.0043294688686728,809.1562829435669,0.3684992570579495,744.376885995357,0.33136094674556216,1656.3468222618103,0.0,0.9199420454197625
