wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition,extra_hidden_params
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Explicit forward model.,AbsoluteImitation,5,5,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1902.5728759765625,229.8212890625,600064000,forward_model,1575936
oeb11ok2,RodentForwardModel_delay6_eff6-20260619-033349,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay6,eff6,warp",Explicit forward model.,AbsoluteImitation,6,6,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.109619140625,238.67958068847656,600064000,forward_model,1575936
dcgsgytz,RodentForwardModel_delay7_eff7-20260619-033456,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay7,eff7,warp",Explicit forward model.,AbsoluteImitation,7,7,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.5849609375,231.030517578125,600064000,forward_model,1575936
4spnzcd6,RodentForwardModel_delay8_eff8-20260619-033515,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay8,eff8,warp",Explicit forward model.,AbsoluteImitation,8,8,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.89404296875,286.3036193847656,600064000,forward_model,1575936
3h12kbno,RodentForwardModel_delay9_eff9-20260619-033655,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay9,eff9,warp",Explicit forward model.,AbsoluteImitation,9,9,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1875.90234375,255.567626953125,600064000,forward_model,1575936
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Explicit forward model.,AbsoluteImitation,10,10,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.0142822265625,281.79296875,600064000,forward_model,1575936
lwf9q634,RodentForwardModel_delay12_eff12-20260619-033905,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay12,eff12,warp",Explicit forward model.,AbsoluteImitation,12,12,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1739.9691162109375,447.7511291503906,600064000,forward_model,1575936
oelpm5vy,RodentForwardModel_delay15_eff15-20260619-034343,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay15,eff15,warp",Explicit forward model.,AbsoluteImitation,15,15,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1665.438720703125,504.8869018554687,600064000,forward_model,1575936
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Explicit forward model.,AbsoluteImitation,20,20,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1587.1820068359375,555.6929931640625,600064000,forward_model,1575936
7wqiu7d3,RodentForwardModel_delay25_eff25-20260619-035219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay25,eff25,warp",Explicit forward model.,AbsoluteImitation,25,25,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1559.510498046875,553.2080078125,600064000,forward_model,1575936
g6mz0mci,RodentForwardModel_delay30_eff30-20260619-035534,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay30,eff30,warp",Explicit forward model.,AbsoluteImitation,30,30,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1501.1363525390625,579.9451904296875,600064000,forward_model,1575936
1j36ffre,RodentForwardModel_delay40_eff40-20260619-035659,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay40,eff40,warp",Explicit forward model.,AbsoluteImitation,40,40,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1444.188720703125,560.1549072265625,600064000,forward_model,1575936
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Explicit forward model.,AbsoluteImitation,50,50,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1345.9512939453125,589.0496826171875,600064000,forward_model,1575936
rmeykqfj,RodentForwardModel_delay60_eff60-20260619-040528,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay60,eff60,warp",Explicit forward model.,AbsoluteImitation,60,60,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1293.4940185546875,588.5738525390625,600064000,forward_model,1575936
5chxtk59,RodentForwardModel_delay70_eff70-20260619-040722,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",Explicit forward model.,AbsoluteImitation,70,70,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1196.955810546875,577.099853515625,600064000,forward_model,1575936
3wnn9itz,RodentForwardModel_delay80_eff80-20260619-040733,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,warp",Explicit forward model.,AbsoluteImitation,80,80,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1211.232666015625,572.9645385742188,600064000,forward_model,1575936
zu36pzzv,RodentForwardModel_delay90_eff90-20260619-041422,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay90,eff90,warp",Explicit forward model.,AbsoluteImitation,90,90,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1163.7845458984375,552.7642822265625,600064000,forward_model,1575936
4dgvazws,RodentForwardModel_delay100_eff100-20260619-041703,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",Explicit forward model.,AbsoluteImitation,100,100,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1126.962646484375,545.8890991210938,600064000,forward_model,1575936
