condition,wandb_id,wandb_name,git_commit,n_envs,rollout_length,seed,delay_k,efference_length,eff_ratio,rnn_cell,rnn_hidden_sizes,total_params,metric_source,train_reward,old_eval_reward,new_eval_reward,old_eval_lifespan,survived
feedforward,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,ef060b7,4096,20,42,40,40,1.0,,,4903565.0,artifact:eval3ds-n00-6a6b8d4e,1020.7550695796247,929.0144781078812,2444.2315559387207,301.59763313609466,0.40828402366863903
feedforward,d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,ef060b7,4096,20,42,50,50,1.0,,,5098125.0,artifact:eval3ds-n00-6a6b8d4e,899.0241398690891,823.3253044263851,1472.1262245178223,277.14792899408286,0.2781065088757396
feedforward,n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,ef060b7,4096,20,42,60,60,1.0,,,5292685.0,artifact:eval3ds-n00-6a6b8d4e,833.070503597628,767.9190298678607,1165.548586845398,280.2248520710059,0.3076923076923077
feedforward,cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,ef060b7,4096,20,42,70,70,1.0,,,5487245.0,artifact:eval3ds-n00-6a6b8d4e,881.4089407956263,797.0708262426614,1347.4772534370422,273.63313609467457,0.28402366863905326
feedforward,qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,ef060b7,4096,20,42,80,80,1.0,,,5681805.0,artifact:eval3ds-n00-6a6b8d4e,824.1589624027972,754.5544285520294,1296.0780186653137,268.0295857988166,0.23076923076923073
feedforward,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,ef060b7,4096,20,42,90,90,1.0,,,5876365.0,artifact:eval3ds-n00-6a6b8d4e,828.9853210789311,723.2679883065308,1277.9281778335571,263.26627218934914,0.23668639053254437
feedforward,48llced7,RodentEncDec_delay100_eff100-20260811-094548,ef060b7,4096,20,42,100,100,1.0,,,6070925.0,artifact:eval3ds-n00-6a6b8d4e,747.6642392457505,677.4251046716814,1030.2333879470825,248.23668639053255,0.16568047337278102
recurrent,2s4cmjcx,RodentEncDecLSTM_delay0_eff0-20260824-091622,a3450a9,1024,20,52,0,0,,lstm,[512],6224525.0,inline_final_eval,2116.6677572581957,2095.2393452119545,11384.953601837158,485.7455621301775,0.9763313609467456
recurrent,nvlq18bp,RodentEncDecLSTM_delay5_eff1-20260824-095808,a3450a9,1024,20,43,5,1,0.2,lstm,[512],6243981.0,inline_final_eval,1428.7524958549602,1388.2162560005866,6021.313913345337,378.32544378698225,0.6094674556213018
recurrent,fut020mc,RodentEncDecLSTM_delay5_eff1-20260824-155608,4245ae4,4096,20,42,5,1,0.2,lstm,[512],6243981.0,inline_final_eval,2070.3502386129985,1983.6094746787169,7865.677473068237,468.4260355029586,0.9053254437869822
recurrent,w81ha9fl,RodentEncDecLSTM_delay10_eff1-20260824-095808,a3450a9,1024,20,43,10,1,0.1,lstm,[512],6243981.0,inline_final_eval,705.9070699955344,681.2098788650784,1218.763581752777,256.67455621301775,0.29585798816568043
recurrent,4ft79293,RodentEncDecLSTM_delay10_eff1-20260825-070949,4245ae4,4096,60,42,10,1,0.1,lstm,[512],6243981.0,inline_final_eval,1718.7868289805806,1654.3203245083962,6540.220336437225,413.76331360946745,0.7337278106508875
recurrent,vx4zrzed,RodentEncDecLSTM_delay10_eff1-20260824-155608,4245ae4,4096,20,42,10,1,0.1,lstm,[512],6243981.0,inline_final_eval,1676.1984253383143,1510.884954238079,4338.1311893463135,376.0828402366864,0.6213017751479291
recurrent,ykovjkpw,RodentEncDecLSTM_delay10_eff1-20260825-083459,4245ae4,4096,40,42,10,1,0.1,lstm,[512],6243981.0,inline_final_eval,1720.7372872294502,1662.998876402364,5498.3393297195435,416.3491124260355,0.7218934911242604
recurrent,xjanuh21,RodentEncDecLSTM_delay10_eff10-20260824-091622,a3450a9,1024,20,52,10,10,1.0,lstm,[512],6419085.0,inline_final_eval,1389.0851610929085,1354.1448459512385,4029.254541873932,364.7751479289941,0.6153846153846154
recurrent,a214jol0,RodentEncDecLSTM_delay10_eff10-20260824-131742,4245ae4,4096,20,42,10,10,1.0,lstm,[512],6419085.0,inline_final_eval,1894.470308017589,1767.0209899992633,5572.834497928619,423.79881656804736,0.7751479289940828
recurrent,d08in1g9,RodentEncDecLSTM_delay10_eff10-20260825-070956,4245ae4,4096,60,42,10,10,1.0,lstm,[512],6419085.0,inline_final_eval,1993.28562317348,1911.9571998641336,8489.468250751495,458.84615384615387,0.8816568047337279
