condition,task,gpu,impl,network_class,delay_k,seed,wandb_id,wandb_name,created_at,state,git_commit,total_steps,actual_step,runtime_s,eval_every_steps,video_every_steps,checkpoint_every_steps,has_timing,wall_clock_s,steps_per_iteration,train_s,eval_s,video_s,checkpoint_s,overhead_s,startup_tail_s,n_eval,eval_s_median,eval_s_total,eval_s_typical,eval_excess_s,n_video,video_s_median,video_s_total,video_s_typical,video_excess_s,n_checkpoint,checkpoint_s_median,checkpoint_s_total,checkpoint_s_typical,checkpoint_excess_s,n_iteration,iteration_s_median,iteration_s_total,iteration_s_typical,iteration_excess_s,worst_wall_s,worst_at_runtime_s,worst_at_step,worst_kind,align_shift,align_score_s,align_p90_s,align_ok,n_iterations_logged,logged_max_step,train_frac,eval_frac,video_frac,checkpoint_frac,overhead_frac,startup_tail_frac,stall_s,n_stalls,healthy_wall_s,healthy_train_s,healthy_train_frac,healthy_eval_s,healthy_eval_frac,healthy_video_s,healthy_video_frac,healthy_checkpoint_s,healthy_checkpoint_frac,healthy_overhead_s,healthy_overhead_frac,healthy_startup_tail_s,healthy_startup_tail_frac,save_eval_4p8M_s,save_eval_10M_s,save_video_30M_s,save_checkpoint_50M_s,save_intended_s
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,0.0,1234,01o0r392,CartpoleSwingup_DelayedMLP_delay0_eff0-20260910-065558,2026-09-10T10:56:10Z,finished,971ab99e,480000000,480215040.0,3896.0,600000,6000000,10000000,True,3896.0,245760,1191.7909523395356,190.52075576456264,2223.506006650394,27.362256124395806,65.20937357411199,197.61065554700008,800,0.22631641547195613,190.52075576456264,181.0531323775649,9.46762338699773,80,26.689876583986916,2223.506006650394,2135.1901267189533,88.31587993144058,48,0.768027920913255,27.362256124395806,36.86534020383624,-9.503084079440434,1952,0.6107949644792825,1191.7909523395356,1192.2717706635594,-0.4808183240238577,40.948820173,259.49695957,6144000.0,video,1,0.022390855460409028,0.03144137062504352,True,1955,480215040.0,0.30590116846497317,0.048901631356407245,0.570715094109444,0.007023166356364427,0.016737518884525664,0.05072142082828544,0.0,0,3896.0,1191.7909523395356,0.30590116846497317,190.52075576456264,0.048901631356407245,2223.506006650394,0.570715094109444,27.362256124395806,0.007023166356364427,65.20937357411199,0.016737518884525664,197.61065554700008,0.05072142082828544,158.4214908303693,170.189944434911,1708.1521013751626,29.492272163068993,1866.573592205532
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,15.0,1234,04gjvaai,CartpoleSwingup_DelayedMLP_delay15_eff15-20260910-065558,2026-09-10T10:56:10Z,finished,971ab99e,480000000,480215040.0,2189.0,600000,6000000,10000000,True,2189.0,245760,1219.8074493499007,188.40553165506572,618.1487693123054,14.128288039238667,19.406099372489653,129.1038622709998,800,0.23106862837448716,188.40553165506572,184.85490269958973,3.550628955475986,80,7.655539102968759,618.1487693123054,612.4431282375007,5.705641074804703,48,0.34908595301067186,14.128288039238667,16.75612574451225,-2.627837705273583,1952,0.6241464529884979,1219.8074493499007,1218.333876233548,1.4735731163527817,13.492939003999993,160.638189896,6144000.0,video,1,0.004192957674884229,0.006698394007003118,True,1955,480215040.0,0.5572441522841026,0.08606922414575867,0.28238865660680923,0.006454220209793818,0.008865280663540271,0.05897846608999534,0.0,0,2189.0,1219.8074493499007,0.5572441522841026,188.40553165506572,0.08606922414575867,618.1487693123054,0.28238865660680923,14.128288039238667,0.006454220209793818,19.406099372489653,0.008865280663540271,129.1038622709998,0.05897846608999534,161.748039862141,173.76360853761435,489.9545025900006,13.404900595609801,651.7025424521416
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,5.0,1234,04j3vzjo,CartpoleSwingup_DelayedMLP_delay5_eff5-20260909-064211,2026-09-09T10:42:13Z,finished,971ab99e,480000000,480215040.0,2166.0,600000,6000000,10000000,True,2166.0,245760,1225.633161532227,186.62241922388785,625.779324335279,14.747226574881212,20.044896619724938,93.17297171400014,800,0.22884060896467417,186.62241922388785,183.07248717173934,3.549932052148506,80,7.758059993502684,625.779324335279,620.6447994802147,5.134524855064228,48,0.42182882995072646,14.747226574881212,20.24778383763487,-5.500557262753658,1952,0.6263840093743056,1225.633161532227,1222.7015862986445,2.9315752335824072,13.687184889999997,124.387435604,6144000.0,video,1,0.00413738202785149,0.006616858696042971,True,1955,480215040.0,0.5658509517692645,0.08615993500641175,0.2889101220384483,0.0068085071906192115,0.009254338236253434,0.04301614575900284,0.0,0,2166.0,1225.633161532227,0.5658509517692645,186.62241922388785,0.08615993500641175,625.779324335279,0.2889101220384483,14.747226574881212,0.0068085071906192115,20.044896619724938,0.009254338236253434,93.17297171400014,0.04301614575900284,160.18842627527192,172.08813794143498,496.5158395841718,16.198227070107897,656.7042658594437
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,5.0,1234,17brhg4w,CartpoleSwingup_DelayedMLP_delay5_eff5-20260910-065558,2026-09-10T10:56:10Z,finished,971ab99e,480000000,480215040.0,2184.0,600000,6000000,10000000,True,2184.0,245760,1224.9162822000217,185.53645650483668,613.8179893754423,13.080317009165498,18.203914418533813,128.44504049199986,800,0.22752418601885438,185.53645650483668,182.0193488150835,3.517107689753175,80,7.595327782444655,613.8179893754423,607.6262225955724,6.1917667798699085,48,0.3406198675830865,13.080317009165498,16.34975364398815,-3.269436634822654,1952,0.626299696508795,1224.9162822000217,1222.5370075851679,2.3792746148537844,13.352433163,159.63375369,6144000.0,video,1,0.00368878368377868,0.006064679863379753,True,1955,480215040.0,0.5608591035714385,0.08495258997474207,0.2810521929374736,0.005989156139727792,0.00833512564951182,0.05881183172710616,0.0,0,2184.0,1224.9162822000217,0.5608591035714385,185.53645650483668,0.08495258997474207,613.8179893754423,0.2810521929374736,13.080317009165498,0.005989156139727792,18.203914418533813,0.00833512564951182,128.44504049199986,0.05881183172710616,159.26693021319807,171.0981878861785,486.1009780764579,13.079802915190522,645.367908289656
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,25.0,1234,1xy36t4e,CartpoleSwingup_DelayedMLP_delay25_eff25-20260910-065558,2026-09-10T10:56:10Z,finished,971ab99e,480000000,480215040.0,3932.0,600000,6000000,10000000,True,3932.0,245760,1225.38806746318,191.690581983421,2222.4019008458126,27.06317126011309,65.0502866044734,200.4059918429998,800,0.22675119841005653,191.690581983421,181.40095872804523,10.289623255375773,80,26.612886182963848,2222.4019008458126,2129.030894637108,93.37100620870478,48,0.7908521955207561,27.06317126011309,37.960905384996295,-10.897734124883204,1952,0.6284836268750951,1225.38806746318,1226.8000396601856,-1.4119721970055252,41.199418847000004,263.166652956,6144000.0,video,1,0.022307994593267814,0.03199176835576055,True,1955,480215040.0,0.3116449815521821,0.04875141962955773,0.565209028699342,0.006882800422205771,0.01654381653216516,0.050967953164547254,0.0,0,3932.0,1225.38806746318,0.3116449815521821,191.690581983421,0.04875141962955773,2222.4019008458126,0.565209028699342,27.06317126011309,0.006882800422205771,65.0502866044734,0.01654381653216516,200.4059918429998,0.050967953164547254,158.72583888703957,170.5169012043625,1703.2247157096863,30.368724307997038,1861.9505545967259
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,5.0,1234,21pb12k9,CartpoleSwingup_DelayedMLP_delay5_eff5-20260909-064142,2026-09-09T10:41:43Z,finished,971ab99e,480000000,480215040.0,2141.0,600000,6000000,10000000,True,2141.0,245760,1212.1405348991975,186.4655101315584,614.2467484055087,15.350453825342441,20.59653043939312,92.20022229899996,800,0.2286497774766758,186.4655101315584,182.91982198134065,3.5456881502177566,80,7.599479473894462,614.2467484055087,607.958357911557,6.288390493951738,48,0.4048924905021636,15.350453825342441,19.434839544103852,-4.0843857187614105,1952,0.6203071620548144,1212.1405348991975,1210.8395803309977,1.3009545681998134,13.484895401999992,122.316029698,6144000.0,video,1,0.004233131280204115,0.006766420219958047,True,1955,480215040.0,0.5661562517044361,0.08709271841735564,0.28689712676576773,0.007169758909548081,0.0096200515830888,0.04306409261980381,0.0,0,2141.0,1212.1405348991975,0.5661562517044361,186.4655101315584,0.08709271841735564,614.2467484055087,0.28689712676576773,15.350453825342441,0.007169758909548081,20.59653043939312,0.0096200515830888,92.20022229899996,0.04306409261980381,160.05484423367307,171.9446326624602,486.36668632924557,15.547871635283082,646.4215305629186
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,10.0,1234,35ea02y2,CartpoleSwingup_DelayedMLP_delay10_eff10-20260910-065558,2026-09-10T10:56:10Z,finished,971ab99e,480000000,480215040.0,2173.0,600000,6000000,10000000,True,2173.0,245760,1213.6850869550835,185.87955112778582,615.1433971128426,12.335802607805139,18.018068475483002,127.93809372099986,800,0.22800239641219378,185.87955112778582,182.40191712975502,3.4776339980307966,80,7.615049931919202,615.1433971128426,609.2039945535362,5.9394025593064725,48,0.34624647455831337,12.335802607805139,16.61983077879904,-4.284028170993903,1952,0.6207970614777878,1213.6850869550835,1211.7958640046418,1.8892229504417628,13.253660765000006,158.747271055,6144000.0,video,1,0.0036583732140706544,0.006050186768834465,True,1955,480215040.0,0.5585297224827812,0.08554052053740718,0.2830848583123988,0.0056768534780511455,0.008291794052224116,0.058876251137137535,0.0,0,2173.0,1213.6850869550835,0.5585297224827812,185.87955112778582,0.08554052053740718,615.1433971128426,0.2830848583123988,12.335802607805139,0.0056768534780511455,18.018068475483002,0.008291794052224116,127.93809372099986,0.058876251137137535,159.60167748853564,171.45780210196972,487.36319564282894,13.295864623039234,646.9648731313646
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,5.0,1234,3dhb1lkg,CartpoleSwingup_DelayedMLP_delay5_eff5-20260910-070313,2026-09-10T11:03:14Z,finished,971ab99e,480000000,480215040.0,2116.0,600000,6000000,10000000,True,2116.0,245760,1205.712826241739,182.16810143599287,608.410879106028,11.678656307566172,18.125486132673927,89.90405077599985,800,0.22344712843187153,182.16810143599287,178.75770274549723,3.41039869049564,80,7.512913753977046,608.410879106028,601.0331003181637,7.3777787878642584,48,0.32857867299071586,11.678656307566172,15.771776303554361,-4.093119995988189,1952,0.6165880130138248,1205.712826241739,1203.579801402986,2.1330248387530446,13.562425080000011,119.887753929,6144000.0,video,1,0.003631926327705642,0.006021417977035427,True,1955,480215040.0,0.569807573838251,0.0860907851776904,0.2875287708440586,0.005519213755938644,0.008565919722435693,0.042487736661625634,0.0,0,2116.0,1205.712826241739,0.569807573838251,182.16810143599287,0.0860907851776904,608.410879106028,0.2875287708440586,11.678656307566172,0.005519213755938644,18.125486132673927,0.008565919722435693,89.90405077599985,0.042487736661625634,156.41298990231007,168.0322405807674,480.826480254531,12.617421042843489,637.2394701568411
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,10.0,1234,40gqt2zf,CartpoleSwingup_DelayedMLP_delay10_eff10-20260909-063833,2026-09-09T10:38:40Z,finished,971ab99e,480000000,480215040.0,2167.0,600000,6000000,10000000,True,2167.0,245760,1216.226183775114,186.60626034531742,616.453121876868,14.407600487978184,20.241158137722564,113.06567537699993,800,0.2288250400160905,186.60626034531742,183.0600320128724,3.5462283324450254,80,7.629642475018046,616.453121876868,610.3713980014437,6.081723875424245,48,0.42198625299459985,14.407600487978184,20.255340143740792,-5.847739655762608,1952,0.6213558280142024,1216.226183775114,1212.8865762837231,3.3396074913907796,13.574292041999996,143.887013603,6144000.0,video,1,0.004222735795417576,0.006740215693002938,True,1955,480215040.0,0.5612488157707032,0.0861127182027307,0.2844730603954167,0.006648638896159753,0.00934063596572338,0.052176130769266235,0.0,0,2167.0,1216.226183775114,0.5612488157707032,186.60626034531742,0.0861127182027307,616.453121876868,0.2844730603954167,14.407600487978184,0.006648638896159753,20.241158137722564,0.00934063596572338,113.06567537699993,0.052176130769266235,160.17752801126335,172.07643009210005,488.297118401155,16.204272114992634,648.4746464124183
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,FlatRecurrent,5.0,1234,4ifqhohg,CartpoleSwingup_DelayedLSTM_delay5_eff5-20260910-085301,2026-09-10T12:53:03Z,finished,f9c8960d,480000000,480215040.0,2576.0,600000,6000000,10000000,True,2576.0,245760,1600.326322683366,200.43617583997548,623.7480825025123,20.636842189959822,22.352804734186613,108.49977204999959,800,0.24575271049980074,200.43617583997548,196.6021683998406,3.834007440134883,80,7.706297638011166,623.7480825025123,616.5038110408933,7.2442714616189505,48,0.4409482959642049,20.636842189959822,21.165518206281835,-0.528676016322013,1952,0.8192589099053293,1600.326322683366,1599.1933921352029,1.1329305481631309,13.791506486999992,144.643789114,6144000.0,video,1,0.003878833636349237,0.006497752478026087,True,1955,480215040.0,0.6212446904826732,0.07780907447204016,0.24213823078513674,0.008011196502313595,0.008677331030351947,0.04211947672748431,0.0,0,2576.0,1600.326322683366,0.6212446904826732,200.43617583997548,0.07780907447204016,623.7480825025123,0.24213823078513674,20.636842189959822,0.008011196502313595,22.352804734186613,0.008677331030351947,108.49977204999959,0.04211947672748431,172.02689734986052,184.80603829585016,493.20304883271467,16.932414565025468,665.2299461825752
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,DelayedMLP,5.0,1234,4vbhpqw6,CartpoleSwingup_DelayedMLP_delay5_eff5-20260909-064247,2026-09-09T10:42:48Z,finished,971ab99e,480000000,480215040.0,2128.0,600000,6000000,10000000,True,2128.0,245760,1206.1904629261699,183.61505200434476,611.2046040296555,15.571107118552106,20.27228125427767,91.14649266700008,800,0.225229530944489,183.61505200434476,180.1836247555912,3.4314272487535504,80,7.563846471486613,611.2046040296555,605.107717718929,6.096886310726404,48,0.4160630070842614,15.571107118552106,19.971024340044547,-4.399917221492441,1952,0.6169121480779722,1206.1904629261699,1204.2125130482018,1.977949877968058,13.438000713999998,121.3986904,6144000.0,video,1,0.004098585328229475,0.006571472416538871,True,1955,480215040.0,0.5668188265630497,0.0862852687990342,0.28722020866055237,0.007317249585785764,0.009526447957837251,0.04283199843374064,0.0,0,2128.0,1206.1904629261699,0.5668188265630497,183.61505200434476,0.0862852687990342,611.2046040296555,0.28722020866055237,15.571107118552106,0.007317249585785764,20.27228125427767,0.009526447957837251,91.14649266700008,0.04283199843374064,157.66067166114232,169.37260727025574,484.08617417514324,15.976819472035638,641.7468458362855
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,FlatRecurrent,0.0,1234,52w88v7t,CartpoleSwingup_DelayedLSTM_delay0_eff0-20260910-072502,2026-09-10T11:25:03Z,finished,f9c8960d,480000000,480215040.0,2495.0,600000,6000000,10000000,True,2495.0,245760,1548.834721127525,195.147009590175,614.8394690034911,11.277534146082075,17.81451737872669,107.08674875399993,800,0.23925609246362,195.147009590175,191.404873970896,3.742135619278997,80,7.604771686485037,614.8394690034911,608.381734918803,6.457734084688127,48,0.3288022835755555,11.277534146082075,15.782509611626665,-4.5049754655445895,1952,0.7928300260100514,1548.834721127525,1547.6042107716203,1.2305103559046984,13.702878193999993,142.3363078,6144000.0,video,1,0.003820847076721582,0.006351950753412439,True,1955,480215040.0,0.6207754393296693,0.07821523430467936,0.2464286448911788,0.00452005376596476,0.00714008712574216,0.0429205405827655,0.0,0,2495.0,1548.834721127525,0.6207754393296693,195.147009590175,0.07821523430467936,614.8394690034911,0.2464286448911788,11.277534146082075,0.00452005376596476,17.81451737872669,0.00714008712574216,107.08674875399993,0.0429205405827655,167.479264724534,179.92058153264225,486.7053879350424,12.626007689301332,654.1846526595764
CartpoleSwingup@a100,CartpoleSwingup,NVIDIA A100-SXM4-80GB,jax,FlatRecurrent,25.0,1234,6zc72oou,CartpoleSwingup_DelayedLSTM_delay25_eff25-20260910-091007,2026-09-10T13:10:12Z,finished,f9c8960d,480000000,480215040.0,2594.0,600000,6000000,10000000,True,2594.0,245760,1592.505508477334,199.94151064776815,625.0220757760108,22.740484601802137,23.604841789085228,130.18557870799987,800,0.24502245162148029,199.94151064776815,196.01796129718423,3.923549350583926,80,7.741433567949571,625.0220757760108,619.3146854359657,5.7073903400450945,48,0.567389695026236,22.740484601802137,27.23470536125933,-4.494220759457193,1952,0.8145147046307102,1592.505508477334,1589.9327034391463,2.572805038187653,13.869021669999995,166.178267352,6144000.0,video,1,0.004352408375986614,0.007014634490565186,True,1955,480215040.0,0.6139188544631202,0.07707845437462149,0.2409491425505053,0.008766570779414857,0.009099784806894846,0.05018719302544328,0.0,0,2594.0,1592.505508477334,0.6139188544631202,199.94151064776815,0.07707845437462149,625.0220757760108,0.2409491425505053,22.740484601802137,0.008766570779414857,23.604841789085228,0.009099784806894846,130.18557870799987,0.05018719302544328,171.5157161350362,184.25688361935318,495.4517483487725,21.787764289007466,666.9674644838087
