wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
w2498exh,RodentEncDec_delay30_eff30-20260611-120904,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",Train-eval split,AbsoluteImitation,30,30,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1327.683349609375,564.8617553710938,600064000,efference
rv3u3x7n,RodentEncDec_delay40_eff40-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",Train-eval split,AbsoluteImitation,40,40,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1232.233642578125,572.444580078125,600064000,efference
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",Train-eval split,AbsoluteImitation,50,50,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1045.143310546875,559.1459350585938,600064000,efference
y7dh46ee,RodentEncDec_delay60_eff60-20260611-120954,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",Train-eval split,AbsoluteImitation,60,60,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,992.5313110351562,530.5802001953125,600064000,efference
oe9lq9ej,RodentEncDec_delay70_eff70-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",Train-eval split,AbsoluteImitation,70,70,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,878.22802734375,466.50384521484375,600064000,efference
fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",Train-eval split,AbsoluteImitation,80,80,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,871.5228881835938,463.3311767578125,600064000,efference
2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",Train-eval split,AbsoluteImitation,90,90,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,789.737548828125,413.3051452636719,600064000,efference
fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",Train-eval split,AbsoluteImitation,100,100,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,772.2216796875,408.118896484375,600064000,efference
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",Explicit forward model.,AbsoluteImitation,0,0,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1985.561767578125,137.70921325683594,600064000,forward_model
n360ngyz,RodentForwardModel_delay1_eff1-20260619-032834,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay1,eff1,warp",Explicit forward model.,AbsoluteImitation,1,1,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1966.170654296875,165.7288360595703,600064000,forward_model
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",Explicit forward model.,AbsoluteImitation,2,2,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1944.8040771484375,197.5319671630859,600064000,forward_model
7mbhtcl1,RodentForwardModel_delay3_eff3-20260619-033153,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay3,eff3,warp",Explicit forward model.,AbsoluteImitation,3,3,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1921.68408203125,215.3975372314453,600064000,forward_model
0v244yas,RodentForwardModel_delay4_eff4-20260619-033209,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay4,eff4,warp",Explicit forward model.,AbsoluteImitation,4,4,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1829.670166015625,358.48358154296875,600064000,forward_model
