wandb_id,condition,delay,seed,step,reward_mean
kb3n3vp3,delayed_mlp,0,i42/p1234,4915200,667.171875
kb3n3vp3,delayed_mlp,0,i42/p1234,9830400,908.89453125
kb3n3vp3,delayed_mlp,0,i42/p1234,14499840,936.64453125
kb3n3vp3,delayed_mlp,0,i42/p1234,19415040,945.82421875
kb3n3vp3,delayed_mlp,0,i42/p1234,24084480,949.703125
kb3n3vp3,delayed_mlp,0,i42/p1234,28999680,956.95703125
kb3n3vp3,delayed_mlp,0,i42/p1234,33669120,959.19140625
kb3n3vp3,delayed_mlp,0,i42/p1234,38584320,960.62890625
kb3n3vp3,delayed_mlp,0,i42/p1234,43253760,961.953125
kb3n3vp3,delayed_mlp,0,i42/p1234,48168960,962.05078125
kb3n3vp3,delayed_mlp,0,i42/p1234,52838400,963.81640625
kb3n3vp3,delayed_mlp,0,i42/p1234,57753600,964.80078125
kb3n3vp3,delayed_mlp,0,i42/p1234,62423040,965.1953125
kb3n3vp3,delayed_mlp,0,i42/p1234,67338240,960.90234375
kb3n3vp3,delayed_mlp,0,i42/p1234,72007680,962.0859375
kb3n3vp3,delayed_mlp,0,i42/p1234,76922880,962.42578125
kb3n3vp3,delayed_mlp,0,i42/p1234,81838080,963.51953125
kb3n3vp3,delayed_mlp,0,i42/p1234,86507520,964.12109375
kb3n3vp3,delayed_mlp,0,i42/p1234,91422720,965.8203125
kb3n3vp3,delayed_mlp,0,i42/p1234,96092160,966.66796875
kb3n3vp3,delayed_mlp,0,i42/p1234,101007360,966.96484375
kb3n3vp3,delayed_mlp,0,i42/p1234,105676800,963.97265625
kb3n3vp3,delayed_mlp,0,i42/p1234,110592000,960.515625
kb3n3vp3,delayed_mlp,0,i42/p1234,115261440,959.40625
kb3n3vp3,delayed_mlp,0,i42/p1234,120176640,963.85546875
kb3n3vp3,delayed_mlp,0,i42/p1234,124846080,968.828125
kb3n3vp3,delayed_mlp,0,i42/p1234,129761280,968.859375
kb3n3vp3,delayed_mlp,0,i42/p1234,134430720,969.40625
