condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/value/2,critic,2.0,critic 2,proprio,False,0.1692226707904112,-4.117645738439932,1000.0,56671,24990,1024
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/value/3,critic,3.0,value (1),delta,True,,-inf,1.0,56671,24990,1
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/value/3,critic,3.0,value (1),proprio,False,0.011645014593272,0.0095908263268644,1000.0,56671,24990,1
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/decoder/5/log_likelihood,diagnostic,,,delta,True,,-inf,1.0,56671,24990,1
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/1/decoder/5/log_likelihood,diagnostic,,,proprio,False,0.0048371829217894,0.0067052380057454,1.0,56671,24990,1
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/0,encoder,0.0,task_obs (640),delta,True,,-inf,1.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/0,encoder,0.0,task_obs (640),proprio,False,0.0895371305889799,0.0959884765722137,100.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/1,encoder,1.0,enc 1,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/1,encoder,1.0,enc 1,proprio,False,0.0850155034078523,0.058955347707616,1000.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/2,encoder,2.0,enc 2,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/2,encoder,2.0,enc 2,proprio,False,0.0743603796148156,0.0329151825188254,1000.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/3,encoder,3.0,enc 3,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/3,encoder,3.0,enc 3,proprio,False,0.0768067239196683,0.0361670672563793,1000.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/4,encoder,4.0,enc 4,delta,True,,-inf,1.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/4,encoder,4.0,enc 4,proprio,False,0.0791712662248833,0.0538122335300851,1000.0,56671,24990,512
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/5,encoder,5.0,head (64),delta,True,,-inf,1.0,56671,24990,64
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/5,encoder,5.0,head (64),proprio,False,0.0692267727001139,0.0724380046891223,1000.0,56671,24990,64
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/6,encoder,6.0,latent z (32),delta,True,,-inf,1.0,56671,24990,32
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/task_obs/6,encoder,6.0,latent z (32),proprio,False,0.021318671853601,0.0143644531609322,1000.0,56671,24990,32
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::0/state/proprioception,preprocessing,,,delta,True,,-inf,1.0,56671,24990,277
