wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,fm_pred_mse_p25,fm_pred_mse,fm_pred_mse_p75,actual_step,condition,fm_trained
evvfdeav,RodentForwardModel_delay10_eff10-20260622-100244,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,784.6690673828125,584.071044921875,0.5913288593292236,0.736308753490448,0.966638445854187,600064000,forward_model,False
zb7w3pl5,RodentForwardModel_delay10_eff10-20260622-105204,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,1e-05,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1063.715576171875,662.00439453125,0.05668018013238907,0.08995893597602844,0.19443950057029724,600064000,forward_model,True
k9ehc49x,RodentForwardModel_delay10_eff10-20260622-104935,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.0001,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1724.0462646484375,455.455322265625,0.04462432116270065,0.06160685047507286,0.0933159589767456,600064000,forward_model,True
7dzqww8l,RodentForwardModel_delay10_eff10-20260622-104941,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.001,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1842.856689453125,319.99560546875,0.03035968542098999,0.042192332446575165,0.06306223571300507,600064000,forward_model,True
7w6wb12w,RodentForwardModel_delay10_eff10-20260622-091239,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.01,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1813.198974609375,365.2125244140625,0.02831202372908592,0.03999639302492142,0.06049768999218941,600064000,forward_model,True
rtm81r90,RodentForwardModel_delay10_eff10-20260622-091236,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.1,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1825.1124267578125,344.713623046875,0.02789698913693428,0.03949000686407089,0.06051720678806305,600064000,forward_model,True
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Explicit forward model.,AbsoluteImitation,10,10,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.0142822265625,281.79296875,0.02708212286233902,0.038318708539009094,0.05873704701662064,600064000,forward_model,True
5np7271t,RodentForwardModel_delay10_eff10-20260622-105219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,10.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1823.5238037109375,332.3967590332031,0.027010316029191017,0.038171034306287766,0.05793590843677521,600064000,forward_model,True
lwf9q634,RodentForwardModel_delay12_eff12-20260619-033905,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay12,eff12,warp",Explicit forward model.,AbsoluteImitation,12,12,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1739.9691162109375,447.7511291503906,0.030019178986549377,0.0426069051027298,0.06618064641952515,600064000,forward_model,True
oelpm5vy,RodentForwardModel_delay15_eff15-20260619-034343,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay15,eff15,warp",Explicit forward model.,AbsoluteImitation,15,15,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1665.438720703125,504.8869018554687,0.03344796597957611,0.047403484582901,0.07358338683843613,600064000,forward_model,True
