wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,created_at,condition,xml,walker_xml,network,control_mode,body_target_frame,delay_k,efference_length,fm_loss_weight,detach_prediction,min_std,env,seed,latent_size,kl_weight,clip_length,ctrl_dt,solver,njmax,naconmax,mujoco_impl,n_envs,total_steps,actual_step,gpu,host,reward_mean,reward_std,lifespan_mean,train_sps_median,eval_sps_median,runtime_s,inline_eval_old_eval_reward,inline_eval_new_eval_reward,inline_eval_new_eval_survived
ax6foqgd,RodentEncDec_delay4_eff4-20260811-081204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,4,4,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1937.206298828125,202.97369384765625,442.7900390625,57981.15769199864,49398.99726281766,12482.110722507,,,
7ur99xil,RodentEncDec_delay5_eff5-20260811-081204,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,5,5,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1906.53173828125,248.86468505859375,439.30859375,57903.10812355387,49024.939878340345,12513.083884099,,,
c1v5gmie,RodentEncDec_delay6_eff6-20260811-081205,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",New XML + reference_root.,2026-08-11T12:12:06Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,6,6,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1878.6558837890625,296.2882385253906,435.291015625,57595.618994258926,48965.89723745019,12548.467320999,,,
904oncgf,RodentEncDec_delay7_eff7-20260811-081755,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",New XML + reference_root.,2026-08-11T12:17:56Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,7,7,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12204.rc.fas.harvard.edu,1862.65283203125,304.1068420410156,435.1181640625,56936.031981213266,48366.60079841169,12933.046976976,,,
dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",New XML + reference_root.,2026-08-11T12:19:57Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,8,8,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12602.rc.fas.harvard.edu,1849.788818359375,294.1304931640625,434.9716796875,57098.04092938488,48073.45864762226,12654.673027484,,,
xgrebrix,RodentEncDec_delay9_eff9-20260811-081952,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",New XML + reference_root.,2026-08-11T12:19:57Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,9,9,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12602.rc.fas.harvard.edu,1809.122314453125,334.80853271484375,430.4814453125,57218.85860055411,48030.99813796669,12659.063501407,,,
vo7jiiwr,RodentEncDec_delay10_eff10-20260811-083832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",New XML + reference_root.,2026-08-11T12:38:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,10,10,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12202.rc.fas.harvard.edu,1768.671142578125,372.36474609375,426.2353515625,57186.89044482835,47988.69494657587,12694.148199031,,,
op8eyyba,RodentEncDec_delay12_eff12-20260811-083832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay12,eff12,warp",New XML + reference_root.,2026-08-11T12:38:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,12,12,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12202.rc.fas.harvard.edu,1702.493896484375,416.0056762695313,418.4931640625,57220.33848343884,47783.77004127558,12687.680777105,,,
mpmlfb9i,RodentEncDec_delay15_eff15-20260811-083832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",New XML + reference_root.,2026-08-11T12:38:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,15,15,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12202.rc.fas.harvard.edu,1609.5628662109375,482.4064331054687,404.4423828125,56916.789600435826,47143.96981115569,12732.979258625,,,
7qbsx2pa,RodentEncDec_delay20_eff20-20260811-083832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",New XML + reference_root.,2026-08-11T12:38:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,20,20,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12202.rc.fas.harvard.edu,1453.219482421875,538.7267456054688,380.8720703125,56507.46778052972,47252.16469450733,12789.183984839,,,
