pair,condition,delay_k,final,gained_last_100M,gained_pct
primary_encdec,encdec_old_current,0,1999.294921875,14.435302734375,0.7220196768587364
primary_encdec,encdec_old_current,1,1980.5355224609375,9.220458984375,0.46555383025486013
primary_encdec,encdec_old_current,2,1956.1238159179688,21.54052734375,1.1011842485871208
primary_encdec,encdec_old_current,3,1942.0364624023437,27.498291015625,1.4159513247042221
primary_encdec,encdec_old_current,4,1928.4800048828124,23.2586669921875,1.2060621283755988
primary_encdec,encdec_old_current,5,1905.5379516601563,4.086181640625,0.2144371691503183
primary_encdec,encdec_old_current,6,1883.4943359375,20.3101806640625,1.0783244885073258
primary_encdec,encdec_old_current,7,1882.8860107421874,34.03430175781227,1.8075603920598882
primary_encdec,encdec_old_current,8,1838.6973266601562,30.081176757812273,1.6360048128449873
primary_encdec,encdec_old_current,9,1812.3563842773438,57.43603515625,3.169135808747238
primary_encdec,encdec_old_current,10,1794.5717041015625,3.5289306640625,0.1966447289900422
primary_encdec,encdec_old_current,15,1585.4665405273438,29.8525390625,1.8828867276234484
primary_encdec,encdec_old_current,20,1440.1525024414063,31.3756103515625,2.17863110319034
primary_encdec,encdec_old_current,30,1312.6483764648438,41.765869140625,3.1818017596690034
primary_encdec,encdec_old_current,40,1170.68916015625,103.468017578125,8.838214369757665
primary_encdec,encdec_old_current,50,1037.1123657226562,32.28509521484375,3.112979488230054
primary_encdec,encdec_old_current,60,975.8135192871093,29.21319580078125,2.9937273078695665
primary_encdec,encdec_old_current,70,881.8745727539062,-2.14471435546875,-0.24319947776374415
primary_encdec,encdec_old_current,80,858.3946838378906,10.92376708984375,1.272580934565378
primary_encdec,encdec_old_current,90,811.138525390625,-25.8433837890625,-3.1860629202166106
primary_encdec,encdec_old_current,100,780.3085266113281,-12.4508056640625,-1.5956259914437985
primary_encdec,encdec_new_reference,0,2000.9520385742187,13.152587890625,0.6573164991998957
primary_encdec,encdec_new_reference,1,1979.7656982421875,15.4970703125,0.7827729476402021
primary_encdec,encdec_new_reference,2,1962.3890502929687,14.728515625,0.7505400431581675
primary_encdec,encdec_new_reference,3,1937.7175659179688,17.737426757812727,0.9153773010985659
primary_encdec,encdec_new_reference,4,1928.6830810546876,9.924682617187727,0.5145833815144207
primary_encdec,encdec_new_reference,5,1906.7813720703125,6.9974365234375,0.3669763416998323
primary_encdec,encdec_new_reference,6,1889.736279296875,12.7222900390625,0.6732309782292033
primary_encdec,encdec_new_reference,7,1863.9694946289062,-5.861328125,-0.3144540799562237
primary_encdec,encdec_new_reference,8,1825.1889892578124,48.7613525390625,2.6715782763345852
primary_encdec,encdec_new_reference,9,1786.1345947265625,51.719970703125,2.8956368045176775
primary_encdec,encdec_new_reference,10,1738.7790283203126,48.592529296875,2.794635114952826
primary_encdec,encdec_new_reference,12,1666.0569580078125,55.697021484375,3.3430442588814437
primary_encdec,encdec_new_reference,15,1589.8938232421874,45.1766357421875,2.841487593810582
primary_encdec,encdec_new_reference,20,1421.61630859375,50.5947265625,3.5589579450272235
primary_encdec,encdec_new_reference,25,1172.2434692382812,60.6412353515625,5.1730921897109745
primary_encdec,encdec_new_reference,30,1078.8371643066407,101.563232421875,9.414139203032443
primary_encdec,encdec_new_reference,40,975.6827697753906,70.42474365234386,7.217996036617122
primary_encdec,encdec_new_reference,50,884.1802429199219,-3.33990478515625,-0.37774026414869094
primary_encdec,encdec_new_reference,60,862.9879150390625,-56.28118896484375,-6.521665945031945
primary_encdec,encdec_new_reference,70,859.4560791015625,15.45428466796875,1.7981471123136366
primary_encdec,encdec_new_reference,80,849.260107421875,-7.044677734375,-0.829507670595849
primary_encdec,encdec_new_reference,90,851.9919128417969,-23.3204345703125,-2.737166188881746
primary_encdec,encdec_new_reference,100,780.2016357421875,55.10137939453125,7.062453713278184
primary_expfm,expfm_old_current,0,1972.4144653320313,16.302001953125,0.8264998173383789
primary_expfm,expfm_old_current,1,1961.4551025390624,17.2105712890625,0.8774389618596815
primary_expfm,expfm_old_current,2,1946.1826904296875,-0.5035400390627274,-0.02587321537381228
primary_expfm,expfm_old_current,3,1931.88388671875,-11.237060546875,-0.5816633506872314
primary_expfm,expfm_old_current,4,1904.6475708007813,-71.4208984375,-3.749822252285347
primary_expfm,expfm_old_current,5,1904.1005126953125,-7.4290771484375,-0.3901620265792279
primary_expfm,expfm_old_current,6,1889.5248657226562,23.984252929687727,1.2693271925011083
primary_expfm,expfm_old_current,7,1886.7731079101563,26.112548828125,1.383979277563904
primary_expfm,expfm_old_current,8,1854.2851318359376,26.4964599609375,1.4289312633760491
primary_expfm,expfm_old_current,9,1854.8594848632813,28.498779296875,1.536438718374163
primary_expfm,expfm_old_current,10,1818.7908203125,53.5662841796875,2.9451591453757104
primary_expfm,expfm_old_current,12,1761.887109375,-24.9490966796875,-1.41604399889944
primary_expfm,expfm_old_current,15,1666.1689453125,17.02734375,1.0219458115519264
primary_expfm,expfm_old_current,20,1603.8379028320312,-8.7552490234375,-0.5458936347605716
primary_expfm,expfm_old_current,25,1529.8069091796874,8.810302734375,0.5759094616129861
primary_expfm,expfm_old_current,30,1486.2040649414062,-5.1507568359375,-0.3465713058819126
primary_expfm,expfm_old_current,40,1436.3125244140624,11.8658447265625,0.826132511195857
primary_expfm,expfm_old_current,50,1337.8681518554688,5.14794921875,0.3847874853445303
primary_expfm,expfm_old_current,60,1277.6142211914062,32.189208984375,2.5194779809477845
primary_expfm,expfm_old_current,70,1244.5806762695313,-44.9029541015625,-3.6078781358033987
primary_expfm,expfm_old_current,80,1163.1738159179688,60.914794921875,5.236946885173946
primary_expfm,expfm_old_current,90,1094.011474609375,64.2625732421875,5.874031007319456
primary_expfm,expfm_old_current,100,1095.41357421875,94.6661376953125,8.642045335509785
primary_expfm,expfm_new_reference,0,1969.9814331054688,52.9957275390625,2.690163808067993
primary_expfm,expfm_new_reference,1,1950.9885375976562,7.113037109375,0.36458630957071725
primary_expfm,expfm_new_reference,2,1931.4870727539062,36.808349609375,1.905700024017961
primary_expfm,expfm_new_reference,3,1922.1805297851563,35.9283447265625,1.8691451801656862
primary_expfm,expfm_new_reference,4,1913.9820922851563,24.52490234375,1.281354848752479
primary_expfm,expfm_new_reference,5,1884.5277465820313,34.722900390625,1.8425252933315488
primary_expfm,expfm_new_reference,6,1873.1672241210938,28.364013671875,1.5142275236629574
primary_expfm,expfm_new_reference,7,1861.6978637695313,34.7972412109375,1.869113237337056
primary_expfm,expfm_new_reference,8,1838.4525268554687,20.910888671874773,1.1374179298304339
primary_expfm,expfm_new_reference,9,1793.548046875,77.80517578125,4.338059184799334
primary_expfm,expfm_new_reference,10,1761.5236694335938,47.1405029296875,2.676120891684936
primary_expfm,expfm_new_reference,12,1743.1822021484375,-20.113037109375,-1.153811522661606
primary_expfm,expfm_new_reference,15,1674.9486083984375,28.044921875,1.6743750664574815
primary_expfm,expfm_new_reference,20,1629.5471069335938,22.46240234375,1.3784444922257393
primary_expfm,expfm_new_reference,25,1582.6050659179687,35.2950439453125,2.230186463155297
primary_expfm,expfm_new_reference,30,1508.0327392578124,15.761962890625,1.0452003116578454
primary_expfm,expfm_new_reference,40,1443.2273559570312,64.26708984375,4.453012172924985
primary_expfm,expfm_new_reference,50,1338.5211547851563,55.4508056640625,4.142691765896132
primary_expfm,expfm_new_reference,60,1287.7173461914062,57.3973388671875,4.457293290095664
primary_expfm,expfm_new_reference,70,1292.836279296875,15.5372314453125,1.20179420195128
primary_expfm,expfm_new_reference,80,1269.7678344726562,39.9061279296875,3.142789323078168
primary_expfm,expfm_new_reference,90,1248.5902587890625,56.7017822265625,4.541264183940885
primary_expfm,expfm_new_reference,100,1214.8132202148438,124.3836669921875,10.238912856923786
primary_pgfm,pgfm_old_current,0,1993.8969360351562,6.625610351562727,0.33229452494860073
primary_pgfm,pgfm_old_current,1,1984.4840942382812,18.805419921875,0.9476226076326009
primary_pgfm,pgfm_old_current,2,1973.7080200195312,15.332763671875,0.7768506545220033
primary_pgfm,pgfm_old_current,4,1941.1665893554687,27.5260009765625,1.4180133290724954
primary_pgfm,pgfm_old_current,5,1926.0984375,10.4378662109375,0.5419175888271546
primary_pgfm,pgfm_old_current,10,1809.9557861328126,75.692138671875,4.1819882701997
primary_pgfm,pgfm_old_current,12,1706.5070068359375,55.2860107421875,3.2397177697321147
primary_pgfm,pgfm_old_current,15,1626.4364990234376,3.113525390625,0.19143233642963967
primary_pgfm,pgfm_old_current,20,1496.5069946289063,62.49365234375,4.175967941883677
primary_pgfm,pgfm_old_current,25,1335.4309204101562,129.8238525390625,9.72149517843942
primary_pgfm,pgfm_old_current,30,1263.4131225585938,67.4503173828125,5.338738072168815
primary_pgfm,pgfm_old_current,50,959.9825988769531,35.415771484375,3.689209734197948
primary_pgfm,pgfm_old_current,80,755.4609252929688,-4.78759765625,-0.6337320033320536
primary_pgfm,pgfm_old_current,100,725.3248596191406,-21.08740234375,-2.907304508330618
primary_pgfm,pgfm_new_reference,0,1995.5344848632812,10.786987304687727,0.5405562963962895
primary_pgfm,pgfm_new_reference,1,1984.514111328125,6.75537109375,0.34040428612669354
primary_pgfm,pgfm_new_reference,2,1966.0607177734375,16.00341796875,0.8139839133184992
primary_pgfm,pgfm_new_reference,3,1949.5692749023438,11.224365234375,0.5757356447329752
primary_pgfm,pgfm_new_reference,5,1919.50087890625,4.204345703125227,0.2190332783551995
primary_pgfm,pgfm_new_reference,10,1764.5974487304688,20.3194580078125,1.1515067089341673
primary_pgfm,pgfm_new_reference,15,1567.6482543945312,56.623779296875,3.612020690109763
primary_pgfm,pgfm_new_reference,20,1374.3658203125,92.6700439453125,6.742749461292729
primary_pgfm,pgfm_new_reference,30,1004.9405029296875,82.17907714843761,8.177506718941293
primary_pgfm,pgfm_new_reference,50,863.7982604980468,29.44384765625,3.408648639703596
primary_pgfm,pgfm_new_reference,70,803.4655639648438,37.0223388671875,4.607831440154595
primary_pgfm,pgfm_new_reference,100,777.7190673828125,15.3624267578125,1.9753182610669793
