condition,arm,network,budget,budget_label,delay_k,wandb_id,wandb_name,state,git_commit,gpu,created_at,actual_step,runtime_s,have_activations,have_eval,have_history,reward_window,lifespan_window,inline_old_eval_reward,reward_train,fm_mse_train,reward_old_eval,reward_old_eval_std,survived_old_eval,lifespan_old_eval,reward_per_step_old_eval,fm_mse_old_eval,reward_new_eval,fm_mse_new_eval,generalization_ratio,fm_mse_curve_final,fm_mse_curve_at_600M,reward_curve_at_600M,action_sigma_final,encoder_kl_final,joint_l2_error_final,termination_rate_final,valid_rows,frac_valid,mean_lifespan,recorded_step,n_clips
expfm_600m,explicit,forward_model,600000000,600M,0,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,failed,ef060b73,NVIDIA H200,2026-08-11T20:20:34Z,600064000.0,13647.0,True,True,True,1978.487841796875,445.9359375,,2143.7679885705547,0.00021579791039352732,2092.037196232722,277.35220932034076,0.9704142011834319,480.08284023668637,4.3576587640610605,0.00023032342857766996,11269.249570846558,0.010395958677575038,0.9758692206369187,0.0008149165747454075,0.0008149165747454075,1978.487841796875,0.3042211592197418,18.256562423706054,1.1816602945327759,3.008386665896978e-05,81661,0.9625521582309814,483.20118343195264,600064000,169
expfm_600m,explicit,forward_model,600000000,600M,10,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,failed,ef060b73,NVIDIA A100-SXM4-80GB,2026-08-11T21:42:52Z,600064000.0,22127.0,True,True,True,1784.09384765625,425.7541015625,,1879.2233511030586,0.024180753045403243,1736.7931983992898,641.1337498571846,0.7810650887573964,422.8698224852071,4.107158056803749,0.028499126314441608,5755.37397813797,0.03854536203839452,0.9242079699466454,0.022895327955484338,0.022895327955484338,1784.09384765625,0.40428544878959655,14.523583221435548,1.359906554222107,0.0006468144943937201,71439,0.8420636978712369,432.71597633136093,600064000,169
expfm_600m,explicit,forward_model,600000000,600M,20,48icppj0,RodentForwardModel_delay20_eff20-20260811-174441,failed,ef060b73,NVIDIA A100-SXM4-80GB,2026-08-11T21:44:43Z,600064000.0,22320.0,True,True,True,1635.1210205078125,404.9052734375,,1682.1427713652067,0.037701557713346885,1530.986493533885,695.4086679032314,0.680473372781065,389.094674556213,3.9347402923981716,0.04358876711489355,4635.23935174942,0.06635421296228239,0.9101406370467323,0.036490732431411696,0.036490732431411696,1635.1210205078125,0.4320987522602081,13.603813934326173,1.4380722045898438,0.00135478472802784,63107,0.7438529904052429,393.41420118343194,600064000,169
expfm_600m,explicit,forward_model,600000000,600M,50,6cbzq5on,RodentForwardModel_delay50_eff50-20260811-180113,failed,ef060b73,NVIDIA A100-SXM4-80GB,2026-08-11T22:01:16Z,600064000.0,26154.0,True,True,True,1365.377099609375,372.2439453125,,1392.754420809016,0.07153635773552337,1278.9536349956807,665.6830512884258,0.5739644970414202,362.14201183431953,3.5316356379574203,0.0757504640995096,3445.0658831596375,0.08364573111972531,0.9182908457420431,0.07407428324222562,0.07407428324222562,1365.377099609375,0.47266748547554016,12.890095138549805,1.6970714330673218,0.0022734253201633,51870,0.6114005516395955,356.55029585798815,600064000,169
pgfm_600m,implicit,pg_forward_model,600000000,600M,0,efc0z8fe,RodentForwardModel_delay0_eff0_nodetach-20260812-072126,finished,25732c42,NVIDIA A100-SXM4-80GB,2026-08-12T11:21:32Z,600064000.0,21727.0,True,True,True,1997.271142578125,446.053125,2131.067245573687,2165.6418724570194,0.4625858361142921,2133.370625151685,215.20389985071608,0.9881656804733728,484.20118343195264,4.4059591305222385,0.4571084463996362,11094.126880645752,0.5812451499369717,0.985098530040555,0.45767139792442324,0.45767139792442324,1997.271142578125,0.2813268542289734,18.63266258239746,1.1528609991073608,2.1012257275287993e-05,82332,0.970461349866805,487.1715976331361,600064000,169
pgfm_600m,implicit,pg_forward_model,600000000,600M,10,cgs8q5gj,RodentForwardModel_delay10_eff10_nodetach-20260812-072521,finished,25732c42,NVIDIA H200,2026-08-12T11:25:23Z,600064000.0,13903.0,True,True,True,1754.7867919921875,420.2138671875,1734.5487459622896,1837.2062324875353,0.46786995481252663,1736.1930734307102,599.5372222664809,0.7514792899408285,425.1834319526627,4.083397759543949,0.45685376057292554,5315.767732143402,0.5391482713956477,0.9450180620604277,0.46117413640022276,0.46117413640022276,1754.7867919921875,0.4099273860454559,12.006044960021972,1.3636616945266724,0.0007824164349585201,70947,0.8362644098163559,429.8047337278106,600064000,169
pgfm_600m,implicit,pg_forward_model,600000000,600M,10,kwk401pl,RodentForwardModel_delay10_eff10_nodetach-20260812-100602,finished,25732c42,NVIDIA A100-SXM4-80GB,2026-08-12T14:06:07Z,600064000.0,22352.0,True,True,True,1774.40810546875,424.55,1760.4528844709228,1866.0293472652804,0.44085110263617505,1735.0754584137505,593.7657763228825,0.7455621301775148,422.8047337278106,4.103727607578636,0.44027141369415274,6402.666919231415,0.5500731833742754,0.9298221707801935,0.4423900544643402,0.4423900544643402,1774.40810546875,0.4000455677509308,11.785300254821777,1.3549850940704347,0.00064149072859432,69352,0.8174638723213654,420.36686390532543,600064000,169
pgfm_600m,implicit,pg_forward_model,600000000,600M,20,yt776s6d,RodentForwardModel_delay20_eff20_nodetach-20260812-100615,finished,25732c42,NVIDIA H200,2026-08-12T14:06:16Z,600064000.0,14033.0,True,True,True,1399.100537109375,369.784765625,1297.6101241704275,1411.6348573591167,0.47183265040155786,1306.6535736174274,695.6947219726669,0.5739644970414202,360.396449704142,3.6256005703998757,0.4657161361242257,4044.792989730835,0.5896395116075572,0.9256314172220937,0.4765657842159271,0.4765657842159271,1399.100537109375,0.42816712260246276,10.15849723815918,1.5531833171844482,0.0022842872422188,57885,0.6823003842617695,362.5147928994083,600064000,169
pgfm_600m,implicit,pg_forward_model,600000000,600M,50,lxgp2zfn,RodentForwardModel_delay50_eff50_nodetach-20260812-100615,finished,25732c42,NVIDIA H200,2026-08-12T14:06:17Z,600064000.0,14226.0,True,True,True,875.2533935546875,286.723046875,800.3206477870602,850.6440893572826,0.7468885978666936,802.4467267820821,479.45086446486613,0.33136094674556216,283.4852071005917,2.8306476199914816,0.7483368004625455,1735.8714656829834,0.9404482961898339,0.9433401546214037,0.6931636333465576,0.6931636333465576,875.2533935546875,0.4634233295917511,8.12850456237793,2.2787082195281982,0.00451295040547842,40796,0.4808694217213984,290.6213017751479,600064000,169
expfm_2g,explicit,forward_model,2000000000,2G,0,dgv264dt,RodentForwardModel_delay0_eff0-20260813-073550,finished,25732c42,NVIDIA A100-SXM4-80GB,2026-08-13T11:35:59Z,2000076800.0,83087.0,True,True,True,2019.623095703125,446.593359375,2168.574873884754,2186.047201805625,0.00016229317802490313,2169.6156937638684,53.41010512781392,1.0,489.0,4.436841909537563,0.00015528908901429474,10404.165588378906,0.016790211970785635,0.9924834614604001,0.00043297965603410004,0.0002714413334615252,1970.4900634765625,0.26596834063529967,20.510958862304687,1.1066059827804566,7.6241261922405105e-06,82810,0.9760956175298805,490.0,2000076800,169
