wandb_id,condition,task,delay,seed,step,reward_mean
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,40304640,707.873291015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,41041920,810.2667236328125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,41533440,808.8710327148438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,42024960,810.6763305664062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,42762240,840.5707397460938
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,43253760,841.8311767578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,43991040,844.49365234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,44482560,840.1292114257812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,45219840,833.311279296875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,45711360,848.91357421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,46202880,850.5362548828125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,46940160,845.0328369140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,47431680,847.81494140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,48168960,852.95947265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,48660480,853.4493408203125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,49397760,851.460205078125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,49889280,848.7921142578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,50626560,836.8475341796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,51118080,837.3115844726562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,51609600,815.004638671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,52346880,811.935791015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,52838400,791.6156005859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,53575680,809.3408203125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,54067200,812.3170166015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,54804480,811.411865234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,55296000,805.8837280273438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,56033280,810.6130981445312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,56524800,802.7884521484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,57016320,829.399658203125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,57753600,827.4295043945312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,58245120,827.06689453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,58982400,835.648193359375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,59473920,834.6221313476562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,60211200,827.8629150390625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,60702720,828.382568359375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,61440000,825.7109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,61931520,823.9146728515625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,62423040,821.6903686523438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,63160320,820.4210205078125
