condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,delay,efference_length,seed,min_std,actual_step,ctrl_dt,reward_source,reward_last_point,reward_final,reward_final_n,reward_max,reward_max_step,curve_points,curve_max_step
flat_forward_model,CartpoleSwingup,smqiv2a4,CartpoleSwingup_FlatForwardModel_delay20_eff20-20260909-063623,2026-09-09T10:36:23Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,20,20,42,0.001,480215040.0,0.01,dmc_eval,861.4061279296875,831.1768947782971,84,877.184814453125,114769920,800,480215040
delayed_mlp,HumanoidWalk,hz20ro85,HumanoidWalk_DelayedMLP_delay0_eff0-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,42,0.001,480215040.0,0.025,dmc_eval,986.4678955078124,974.6515556403568,84,994.2278442382812,456130560,800,480215040
delayed_mlp,HumanoidWalk,td30g3jx,HumanoidWalk_DelayedMLP_delay2_eff2-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,2,2,42,0.001,480215040.0,0.025,dmc_eval,973.0859375,972.8942129952567,84,974.7315673828124,461537280,800,480215040
delayed_mlp,HumanoidWalk,ju7xc5yq,HumanoidWalk_DelayedMLP_delay5_eff5-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,42,0.001,480215040.0,0.025,dmc_eval,961.8619995117188,959.3924996512277,84,962.4566040039062,479477760,800,480215040
delayed_mlp,HumanoidWalk,h50r8xwd,HumanoidWalk_DelayedMLP_delay7_eff7-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,7,7,42,0.001,480215040.0,0.025,dmc_eval,948.2101440429688,948.0653504871186,84,950.9602661132812,478248960,800,480215040
delayed_mlp,HumanoidWalk,yz1ptwhv,HumanoidWalk_DelayedMLP_delay10_eff10-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,42,0.001,480215040.0,0.025,dmc_eval,100.3113250732422,98.82339014325824,84,109.37318420410156,478986240,800,480215040
delayed_mlp,HumanoidWalk,6sdnzid5,HumanoidWalk_DelayedMLP_delay12_eff12-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,12,12,42,0.001,480215040.0,0.025,dmc_eval,55.07417297363281,37.174827121552966,84,55.36838150024414,64389120,109,65617920
delayed_mlp,HumanoidWalk,jorslhah,HumanoidWalk_DelayedMLP_delay15_eff15-20260909-082059,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,15,15,42,0.001,480215040.0,0.025,dmc_eval,89.99504089355469,85.74692108517601,84,102.82267761230467,257556480,444,266403840
delayed_mlp,HumanoidWalk,6bjbs3a6,HumanoidWalk_DelayedMLP_delay20_eff20-20260909-082059,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,20,20,42,0.001,480215040.0,0.025,dmc_eval,94.32833099365234,83.66966774350121,84,111.03425598144533,392478720,671,402800640
flat_forward_model,HumanoidWalk,6pjh47uq,HumanoidWalk_FlatForwardModel_delay0_eff0-20260909-082138,2026-09-09T12:21:39Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,42,0.001,480215040.0,0.025,dmc_eval,993.8358154296876,992.8053668794178,84,994.038330078125,453181440,770,462028800
flat_forward_model,HumanoidWalk,87yfjaox,HumanoidWalk_FlatForwardModel_delay5_eff5-20260909-082141,2026-09-09T12:21:42Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,42,0.001,480215040.0,0.025,dmc_eval,974.5679931640624,972.9287872314453,84,975.1895751953124,478248960,800,480215040
flat_forward_model,HumanoidWalk,vd0h6cs5,HumanoidWalk_FlatForwardModel_delay7_eff7-20260909-111225,2026-09-09T15:12:36Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,7,7,42,0.001,480215040.0,0.025,dmc_eval,302.7120361328125,220.05915896097818,84,323.2979736328125,471121920,800,480215040
